Date,Durables,Services,Nondurables
1990-01-01,0.8,4.3,5.6
1990-02-01,1.2,4.3,5.9
1990-03-01,1.5,4.4,5.4
1990-04-01,1.2,4.4,3.7
1990-05-01,1.2,4.5,3.1
1990-06-01,0.9,4.7,3.7
1990-07-01,0.9,4.5,4.0
1990-08-01,0.9,4.8,5.9
1990-09-01,1.0,4.9,7.4
1990-10-01,1.1,4.9,8.0
1990-11-01,0.7,4.8,8.0
1990-12-01,0.6,4.5,8.0
1991-01-01,1.1,4.6,5.9
1991-02-01,1.1,4.5,4.6
1991-03-01,1.2,4.1,4.0
1991-04-01,1.4,3.9,4.3
1991-05-01,1.4,4.0,4.7
1991-06-01,1.3,3.8,4.2
1991-07-01,1.8,3.9,3.4
1991-08-01,1.6,3.6,2.5
1991-09-01,1.7,3.7,1.2
1991-10-01,1.6,3.6,0.0
1991-11-01,1.8,3.5,0.4
1991-12-01,1.7,3.8,0.4
1992-01-01,1.1,3.6,0.2
1992-02-01,0.7,3.7,1.0
1992-03-01,0.7,3.7,1.6
1992-04-01,0.7,4.0,1.3
1992-05-01,0.9,3.6,1.1
1992-06-01,1.0,3.5,1.4
1992-07-01,0.5,3.6,2.0
1992-08-01,0.8,3.4,1.9
1992-09-01,0.4,3.2,1.8
1992-10-01,0.4,3.4,2.0
1992-11-01,0.5,3.6,1.5
1992-12-01,0.6,3.4,1.6
1993-01-01,0.6,3.5,1.8
1993-02-01,0.4,3.3,2.0
1993-03-01,0.4,3.4,1.6
1993-04-01,0.7,3.3,1.6
1993-05-01,0.5,3.7,1.4
1993-06-01,0.9,3.7,0.6
1993-07-01,0.9,3.6,0.3
1993-08-01,1.0,3.7,0.2
1993-09-01,1.4,3.7,-0.3
1993-10-01,1.6,3.3,0.3
1993-11-01,1.6,3.3,0.4
1993-12-01,1.7,3.1,0.1
1994-01-01,1.6,2.9,-0.2
1994-02-01,1.9,3.1,-0.5
1994-03-01,2.2,3.1,-0.4
1994-04-01,1.7,2.9,-0.2
1994-05-01,2.1,2.6,-0.3
1994-06-01,2.1,2.6,0.5
1994-07-01,2.4,2.6,1.0
1994-08-01,2.3,2.6,1.4
1994-09-01,2.0,2.4,1.9
1994-10-01,1.7,2.6,1.1
1994-11-01,1.7,2.6,1.0
1994-12-01,1.8,2.6,1.1
1995-01-01,2.0,2.8,1.3
1995-02-01,1.9,2.7,1.4
1995-03-01,1.7,2.6,1.3
1995-04-01,1.8,2.8,1.5
1995-05-01,1.1,2.8,1.7
1995-06-01,0.7,2.8,1.3
1995-07-01,0.2,2.8,0.9
1995-08-01,0.2,2.9,0.5
1995-09-01,0.0,2.9,0.6
1995-10-01,-0.1,2.9,0.9
1995-11-01,-0.5,2.8,0.5
1995-12-01,-0.2,2.9,0.7
1996-01-01,-0.5,2.7,1.4
1996-02-01,-0.6,2.6,1.6
1996-03-01,-0.7,2.6,2.3
1996-04-01,-1.1,2.6,2.6
1996-05-01,-1.2,2.7,2.5
1996-06-01,-1.1,2.6,2.1
1996-07-01,-1.0,2.8,2.1
