"","Date","Median_1_year"
"1",2021-12-31,4.8
"2",2021-11-30,4.9
"3",2021-10-31,4.8
"4",2021-09-30,4.6
"5",2021-08-31,4.6
"6",2021-07-31,4.7
"7",2021-06-30,4.2
"8",2021-05-31,4.6
"9",2021-04-30,3.4
"10",2021-03-31,3.1
"11",2021-02-28,3.3
"12",2021-01-31,3
"13",2020-12-31,2.5
"14",2020-11-30,2.8
"15",2020-10-31,2.6
"16",2020-09-30,2.6
"17",2020-08-31,3.1
"18",2020-07-31,3
"19",2020-06-30,3
"20",2020-05-31,3.2
"21",2020-04-30,2.1
"22",2020-03-31,2.2
"23",2020-02-29,2.4
"24",2020-01-31,2.5
"25",2019-12-31,2.3
"26",2019-11-30,2.5
"27",2019-10-31,2.5
"28",2019-09-30,2.8
"29",2019-08-31,2.7
"30",2019-07-31,2.6
"31",2019-06-30,2.7
"32",2019-05-31,2.9
"33",2019-04-30,2.5
"34",2019-03-31,2.5
"35",2019-02-28,2.6
"36",2019-01-31,2.7
"37",2018-12-31,2.7
"38",2018-11-30,2.8
"39",2018-10-31,2.9
"40",2018-09-30,2.7
"41",2018-08-31,3
"42",2018-07-31,2.9
"43",2018-06-30,3
"44",2018-05-31,2.8
"45",2018-04-30,2.7
"46",2018-03-31,2.8
"47",2018-02-28,2.7
"48",2018-01-31,2.7
"49",2017-12-31,2.7
"50",2017-11-30,2.5
"51",2017-10-31,2.4
"52",2017-09-30,2.7
"53",2017-08-31,2.6
"54",2017-07-31,2.6
"55",2017-06-30,2.6
"56",2017-05-31,2.6
"57",2017-04-30,2.5
"58",2017-03-31,2.5
"59",2017-02-28,2.7
"60",2017-01-31,2.6
"61",2016-12-31,2.2
"62",2016-11-30,2.4
"63",2016-10-31,2.4
"64",2016-09-30,2.4
"65",2016-08-31,2.5
"66",2016-07-31,2.7
"67",2016-06-30,2.6
"68",2016-05-31,2.4
"69",2016-04-30,2.8
"70",2016-03-31,2.7
"71",2016-02-29,2.5
"72",2016-01-31,2.5
"73",2015-12-31,2.6
"74",2015-11-30,2.7
"75",2015-10-31,2.7
"76",2015-09-30,2.8
"77",2015-08-31,2.8
"78",2015-07-31,2.8
"79",2015-06-30,2.7
"80",2015-05-31,2.8
"81",2015-04-30,2.6
"82",2015-03-31,3
"83",2015-02-28,2.8
"84",2015-01-31,2.5
"85",2014-12-31,2.8
"86",2014-11-30,2.8
"87",2014-10-31,2.9
"88",2014-09-30,3
"89",2014-08-31,3.2
"90",2014-07-31,3.3
"91",2014-06-30,3.1
"92",2014-05-31,3.3
"93",2014-04-30,3.2
"94",2014-03-31,3.2
"95",2014-02-28,3.2
"96",2014-01-31,3.1
"97",2013-12-31,3
"98",2013-11-30,2.9
"99",2013-10-31,3
"100",2013-09-30,3.3
"101",2013-08-31,3
"102",2013-07-31,3.1
"103",2013-06-30,3
"104",2013-05-31,3.1
"105",2013-04-30,3.1
"106",2013-03-31,3.2
"107",2013-02-28,3.3
"108",2013-01-31,3.3
"109",2012-12-31,3.2
"110",2012-11-30,3.1
"111",2012-10-31,3.1
"112",2012-09-30,3.3
"113",2012-08-31,3.6
"114",2012-07-31,3
"115",2012-06-30,3.1
"116",2012-05-31,3
"117",2012-04-30,3.2
"118",2012-03-31,3.9
"119",2012-02-29,3.3
"120",2012-01-31,3.3
"121",2011-12-31,3.1
"122",2011-11-30,3.2
"123",2011-10-31,3.2
"124",2011-09-30,3.3
"125",2011-08-31,3.5
"126",2011-07-31,3.4
"127",2011-06-30,3.8
"128",2011-05-31,4.1
"129",2011-04-30,4.6
"130",2011-03-31,4.6
"131",2011-02-28,3.4
"132",2011-01-31,3.4
"133",2010-12-31,3
"134",2010-11-30,3
"135",2010-10-31,2.7
"136",2010-09-30,2.2
"137",2010-08-31,2.7
"138",2010-07-31,2.7
"139",2010-06-30,2.8
"140",2010-05-31,3.2
"141",2010-04-30,2.9
"142",2010-03-31,2.7
"143",2010-02-28,2.7
"144",2010-01-31,2.8
"145",2009-12-31,2.5
"146",2009-11-30,2.7
"147",2009-10-31,2.9
"148",2009-09-30,2.2
"149",2009-08-31,2.8
"150",2009-07-31,2.9
"151",2009-06-30,3.1
"152",2009-05-31,2.8
"153",2009-04-30,2.8
"154",2009-03-31,2
"155",2009-02-28,1.9
"156",2009-01-31,2.2
"157",2008-12-31,1.7
"158",2008-11-30,2.9
"159",2008-10-31,3.9
"160",2008-09-30,4.3
"161",2008-08-31,4.8
"162",2008-07-31,5.1
"163",2008-06-30,5.1
"164",2008-05-31,5.2
"165",2008-04-30,4.8
"166",2008-03-31,4.3
"167",2008-02-29,3.6
"168",2008-01-31,3.4
"169",2007-12-31,3.4
"170",2007-11-30,3.4
"171",2007-10-31,3.1
"172",2007-09-30,3.1
"173",2007-08-31,3.2
"174",2007-07-31,3.4
"175",2007-06-30,3.4
"176",2007-05-31,3.3
"177",2007-04-30,3.3
"178",2007-03-31,3
"179",2007-02-28,3
"180",2007-01-31,3
"181",2006-12-31,2.9
"182",2006-11-30,3
"183",2006-10-31,3.1
"184",2006-09-30,3.1
"185",2006-08-31,3.8
"186",2006-07-31,3.2
"187",2006-06-30,3.3
"188",2006-05-31,4
"189",2006-04-30,3.3
"190",2006-03-31,3
"191",2006-02-28,3
"192",2006-01-31,3
"193",2005-12-31,3.1
"194",2005-11-30,3.3
"195",2005-10-31,4.6
"196",2005-09-30,4.3
"197",2005-08-31,3.1
"198",2005-07-31,3
"199",2005-06-30,3.2
"200",2005-05-31,3.2
"201",2005-04-30,3.3
"202",2005-03-31,3.2
"203",2005-02-28,2.9
"204",2005-01-31,2.9
"205",2004-12-31,3
"206",2004-11-30,2.8
"207",2004-10-31,3.1
"208",2004-09-30,2.8
"209",2004-08-31,2.8
"210",2004-07-31,3
"211",2004-06-30,3.3
"212",2004-05-31,3.3
"213",2004-04-30,3.2
"214",2004-03-31,2.9
"215",2004-02-29,2.6
"216",2004-01-31,2.7
"217",2003-12-31,2.6
"218",2003-11-30,2.7
"219",2003-10-31,2.6
"220",2003-09-30,2.8
"221",2003-08-31,2.5
"222",2003-07-31,1.7
"223",2003-06-30,2.1
"224",2003-05-31,2
"225",2003-04-30,2.4
"226",2003-03-31,3.1
"227",2003-02-28,2.7
"228",2003-01-31,2.5
"229",2002-12-31,2.5
"230",2002-11-30,2.4
"231",2002-10-31,2.5
"232",2002-09-30,2.5
"233",2002-08-31,2.6
"234",2002-07-31,2.6
"235",2002-06-30,2.7
"236",2002-05-31,2.7
"237",2002-04-30,2.8
"238",2002-03-31,2.7
"239",2002-02-28,2.1
"240",2002-01-31,1.9
"241",2001-12-31,1.8
"242",2001-11-30,0.4
"243",2001-10-31,1
"244",2001-09-30,2.8
"245",2001-08-31,2.7
"246",2001-07-31,2.6
"247",2001-06-30,3
"248",2001-05-31,3.2
"249",2001-04-30,3.1
"250",2001-03-31,2.8
"251",2001-02-28,2.8
"252",2001-01-31,3
"253",2000-12-31,2.8
"254",2000-11-30,2.9
"255",2000-10-31,3.2
"256",2000-09-30,2.9
"257",2000-08-31,2.7
"258",2000-07-31,3
"259",2000-06-30,2.9
"260",2000-05-31,3
"261",2000-04-30,3.2
"262",2000-03-31,3.2
"263",2000-02-29,2.9
"264",2000-01-31,3
"265",1999-12-31,3
"266",1999-11-30,2.9
"267",1999-10-31,2.9
"268",1999-09-30,2.7
