"","Date","SD_1_year"
"1",2021-12-31,7.2
"2",2021-11-30,6.6
"3",2021-10-31,6.5
"4",2021-09-30,6.6
"5",2021-08-31,6.2
"6",2021-07-31,5.7
"7",2021-06-30,6.6
"8",2021-05-31,5.5
"9",2021-04-30,4
"10",2021-03-31,4.3
"11",2021-02-28,4.1
"12",2021-01-31,4.3
"13",2020-12-31,4.1
"14",2020-11-30,4.1
"15",2020-10-31,3.8
"16",2020-09-30,4.3
"17",2020-08-31,4.3
"18",2020-07-31,4.4
"19",2020-06-30,4.4
"20",2020-05-31,5.6
"21",2020-04-30,5.5
"22",2020-03-31,3.8
"23",2020-02-29,3.1
"24",2020-01-31,3.2
"25",2019-12-31,3.2
"26",2019-11-30,3.4
"27",2019-10-31,3.3
"28",2019-09-30,3.5
"29",2019-08-31,3.5
"30",2019-07-31,3.4
"31",2019-06-30,3.5
"32",2019-05-31,3.1
"33",2019-04-30,2.9
"34",2019-03-31,3.1
"35",2019-02-28,3.1
"36",2019-01-31,3
"37",2018-12-31,3.4
"38",2018-11-30,3.5
"39",2018-10-31,3.6
"40",2018-09-30,3.2
"41",2018-08-31,3.6
"42",2018-07-31,3.6
"43",2018-06-30,3.5
"44",2018-05-31,2.9
"45",2018-04-30,3.1
"46",2018-03-31,3
"47",2018-02-28,3.1
"48",2018-01-31,3.1
"49",2017-12-31,3.1
"50",2017-11-30,3.1
"51",2017-10-31,3.1
"52",2017-09-30,3.3
"53",2017-08-31,3.3
"54",2017-07-31,3
"55",2017-06-30,3.5
"56",2017-05-31,3.3
"57",2017-04-30,3.3
"58",2017-03-31,3.3
"59",2017-02-28,3.4
"60",2017-01-31,3.4
"61",2016-12-31,3.3
"62",2016-11-30,3.3
"63",2016-10-31,3.2
"64",2016-09-30,3.2
"65",2016-08-31,3.6
"66",2016-07-31,3.3
"67",2016-06-30,2.9
"68",2016-05-31,3.3
"69",2016-04-30,3.6
"70",2016-03-31,3.2
"71",2016-02-29,3.7
"72",2016-01-31,3.7
"73",2015-12-31,3.5
"74",2015-11-30,3.2
"75",2015-10-31,3.5
"76",2015-09-30,3.3
"77",2015-08-31,3.9
"78",2015-07-31,3.6
"79",2015-06-30,3.4
"80",2015-05-31,3.2
"81",2015-04-30,3.1
"82",2015-03-31,3.2
"83",2015-02-28,3.8
"84",2015-01-31,3.6
"85",2014-12-31,3.2
"86",2014-11-30,3.7
"87",2014-10-31,3.5
"88",2014-09-30,3.7
"89",2014-08-31,3.9
"90",2014-07-31,3.4
"91",2014-06-30,3.2
"92",2014-05-31,3.9
"93",2014-04-30,3.4
"94",2014-03-31,3.9
"95",2014-02-28,4.2
"96",2014-01-31,4
"97",2013-12-31,3.9
"98",2013-11-30,3.8
"99",2013-10-31,3.6
"100",2013-09-30,3.7
"101",2013-08-31,4.3
"102",2013-07-31,3.8
"103",2013-06-30,3.7
"104",2013-05-31,4.4
"105",2013-04-30,4
"106",2013-03-31,3.7
"107",2013-02-28,4.5
"108",2013-01-31,4
"109",2012-12-31,4.4
"110",2012-11-30,4.7
"111",2012-10-31,4.3
"112",2012-09-30,4.3
"113",2012-08-31,4.1
"114",2012-07-31,4.2
"115",2012-06-30,3.9
"116",2012-05-31,3.8
"117",2012-04-30,3.9
"118",2012-03-31,4.3
"119",2012-02-29,3.7
"120",2012-01-31,3.7
"121",2011-12-31,3.9
"122",2011-11-30,3.8
"123",2011-10-31,4
"124",2011-09-30,4.2
"125",2011-08-31,4.2
"126",2011-07-31,4.2
"127",2011-06-30,4.6
"128",2011-05-31,4.2
"129",2011-04-30,4.5
"130",2011-03-31,4.1
"131",2011-02-28,4.5
"132",2011-01-31,4.5
"133",2010-12-31,4.6
"134",2010-11-30,4.1
"135",2010-10-31,4.2
"136",2010-09-30,4.3
"137",2010-08-31,4.2
"138",2010-07-31,3.9
"139",2010-06-30,4
"140",2010-05-31,4.1
"141",2010-04-30,4.5
"142",2010-03-31,4.5
"143",2010-02-28,4.5
"144",2010-01-31,4.4
"145",2009-12-31,4.5
"146",2009-11-30,4.6
"147",2009-10-31,4.5
"148",2009-09-30,4.9
"149",2009-08-31,4.8
"150",2009-07-31,5.2
"151",2009-06-30,5.3
"152",2009-05-31,5.2
"153",2009-04-30,5.5
"154",2009-03-31,5.7
"155",2009-02-28,6.5
"156",2009-01-31,5.8
"157",2008-12-31,5.8
"158",2008-11-30,6.1
"159",2008-10-31,5.2
"160",2008-09-30,4.9
"161",2008-08-31,4.9
"162",2008-07-31,5.3
"163",2008-06-30,5.7
"164",2008-05-31,5.4
"165",2008-04-30,5.1
"166",2008-03-31,4.4
"167",2008-02-29,4.3
"168",2008-01-31,3.5
"169",2007-12-31,4.6
"170",2007-11-30,4.1
"171",2007-10-31,3.6
"172",2007-09-30,4.6
"173",2007-08-31,3.9
"174",2007-07-31,3.8
"175",2007-06-30,3.7
"176",2007-05-31,4.1
"177",2007-04-30,3.5
"178",2007-03-31,3.4
"179",2007-02-28,3.2
"180",2007-01-31,3.4
"181",2006-12-31,3.6
"182",2006-11-30,3.4
"183",2006-10-31,3.4
"184",2006-09-30,3.9
"185",2006-08-31,4.1
"186",2006-07-31,3.5
"187",2006-06-30,4.3
"188",2006-05-31,4
"189",2006-04-30,4
"190",2006-03-31,3.4
"191",2006-02-28,3.2
"192",2006-01-31,3.9
"193",2005-12-31,4.7
"194",2005-11-30,4.5
"195",2005-10-31,5.6
"196",2005-09-30,5.2
"197",2005-08-31,3.4
"198",2005-07-31,3.2
"199",2005-06-30,3.4
"200",2005-05-31,3.2
"201",2005-04-30,3
"202",2005-03-31,3.3
"203",2005-02-28,3
"204",2005-01-31,3.3
"205",2004-12-31,3.2
"206",2004-11-30,3.2
"207",2004-10-31,3.4
"208",2004-09-30,3.1
"209",2004-08-31,3.4
"210",2004-07-31,3.2
"211",2004-06-30,3.5
"212",2004-05-31,3.5
"213",2004-04-30,3.5
"214",2004-03-31,3.5
"215",2004-02-29,3.6
"216",2004-01-31,3.5
"217",2003-12-31,3.2
"218",2003-11-30,3.5
"219",2003-10-31,3.6
"220",2003-09-30,3.8
"221",2003-08-31,3.5
"222",2003-07-31,3.5
"223",2003-06-30,3.6
"224",2003-05-31,3.6
"225",2003-04-30,4.6
"226",2003-03-31,3.9
"227",2003-02-28,4
"228",2003-01-31,3.6
"229",2002-12-31,3.8
"230",2002-11-30,3.6
"231",2002-10-31,3.9
"232",2002-09-30,3.6
"233",2002-08-31,3.5
"234",2002-07-31,3.5
"235",2002-06-30,3.4
"236",2002-05-31,3.5
"237",2002-04-30,3.4
"238",2002-03-31,3.9
"239",2002-02-28,3.7
"240",2002-01-31,4
"241",2001-12-31,5
"242",2001-11-30,4.7
"243",2001-10-31,5.4
"244",2001-09-30,4.9
"245",2001-08-31,4.3
"246",2001-07-31,4.1
"247",2001-06-30,4.5
"248",2001-05-31,4.5
"249",2001-04-30,4.8
"250",2001-03-31,4.2
"251",2001-02-28,4.4
"252",2001-01-31,4
"253",2000-12-31,4.1
"254",2000-11-30,4.5
"255",2000-10-31,4
"256",2000-09-30,4.1
"257",2000-08-31,4.3
"258",2000-07-31,3.7
"259",2000-06-30,3.5
"260",2000-05-31,3.2
"261",2000-04-30,2.9
"262",2000-03-31,3
"263",2000-02-29,3.4
"264",2000-01-31,3.5
"265",1999-12-31,3.5
"266",1999-11-30,3.3
"267",1999-10-31,3
"268",1999-09-30,3.3
"269",1999-08-31,2.8
"270",1999-07-31,3.1
"271",1999-06-30,3.3
"272",1999-05-31,3.1
"273",1999-04-30,2.7
"274",1999-03-31,3.4
"275",1999-02-28,3.1
"276",1999-01-31,3.2
"277",1998-12-31,3.3
"278",1998-11-30,3.4
"279",1998-10-31,3
"280",1998-09-30,3.3
"281",1998-08-31,3
"282",1998-07-31,3.1
"283",1998-06-30,3.3
"284",1998-05-31,3.1
"285",1998-04-30,2.9
"286",1998-03-31,3.3
"287",1998-02-28,3.1
"288",1998-01-31,3.9
"289",1997-12-31,4.1
"290",1997-11-30,3.6
"291",1997-10-31,3.3
"292",1997-09-30,3.7
"293",1997-08-31,4
"294",1997-07-31,3.6
"295",1997-06-30,4.1
"296",1997-05-31,4.1
"297",1997-04-30,4.2
"298",1997-03-31,4.4
"299",1997-02-28,4.1
"300",1997-01-31,5.5
"301",1996-12-31,5
"302",1996-11-30,4.8
"303",1996-10-31,5.8
"304",1996-09-30,5.7
"305",1996-08-31,5.8
"306",1996-07-31,6.2
"307",1996-06-30,7
"308",1996-05-31,6.9
"309",1996-04-30,6.5
"310",1996-03-31,6.1
"311",1996-02-29,5.1
"312",1996-01-31,6.2
"313",1995-12-31,3.9
"314",1995-11-30,5.3
"315",1995-10-31,4.1
"316",1995-09-30,5.4
"317",1995-08-31,5.5
"318",1995-07-31,5
"319",1995-06-30,5.5
"320",1995-05-31,5.2
"321",1995-04-30,5.4
"322",1995-03-31,6.3
"323",1995-02-28,5.4
"324",1995-01-31,4.5
"325",1994-12-31,5.7
"326",1994-11-30,6
"327",1994-10-31,5.8
"328",1994-09-30,5.8
"329",1994-08-31,6
"330",1994-07-31,6.7
"331",1994-06-30,6.5
"332",1994-05-31,5.7
"333",1994-04-30,7.5
"334",1994-03-31,6.4
"335",1994-02-28,5.9
"336",1994-01-31,4.8
"337",1993-12-31,5.5
"338",1993-11-30,4.9
"339",1993-10-31,5.3
"340",1993-09-30,7.8
"341",1993-08-31,8.1
"342",1993-07-31,6.6
"343",1993-06-30,6.4
"344",1993-05-31,6.9
"345",1993-04-30,7
"346",1993-03-31,7.8
"347",1993-02-28,7.3
"348",1993-01-31,4.3
