Default Dataset,,Dataset 1,,Dataset 2,,Dataset 3,
X,Y,X,Y,X,Y,X,Y
1.2177355502771179,3.7951002227171493,1.2264449722882027,2.8730512249443203,1.2003167062549487,5.6391982182628055,1.2177355502771179,4.530066815144766
2.201900237529691,3.5679287305122496,2.219319081551861,2.6859688195991094,2.201900237529691,4.850779510022271,2.219319081551861,3.8084632516703785
3.168646080760095,4.129175946547884,3.2209026128266034,3.1135857461024496,3.2034837688044338,1.416481069042316,3.2121931908155186,1.10913140311804
4.274742676167854,3.7683741648106905,4.178939034045923,2.7260579064587978,4.213776722090261,0.8953229398663689,4.231195566112431,0.7616926503340755
5.206650831353919,3.6213808463251667,5.197941409342835,2.5657015590200443,5.232779097387173,1.2026726057906458,5.224069675376089,1.12249443207127
6.208234362628662,2.3786191536748325,6.138558986539985,1.817371937639198,6.234362628661916,1.3496659242761684,6.2169437846397475,1.2293986636971042
7.192399049881235,1.9777282850779505,7.20110847189232,0.9487750556792864,7.227236737925574,1.523385300668152,7.218527315914491,1.1759465478841866
8.228820269200318,3.4209354120267257,8.211401425178147,0.33407572383073525,8.228820269200318,2.418708240534521,8.220110847189233,1.536748329621381
9.24782264449723,3.5278396436525608,9.178147268408551,0.17371937639198176,9.239113222486145,3.9420935412026723,9.204275534441805,2.1915367483296206
10.223277909738718,3.9955456570155903,10.214568487727632,1.3897550111358568,10.231987331749801,4.182628062360802,10.240696753760886,2.21826280623608
11.216152019002376,4.8240534521158125,11.216152019002376,2.939866369710467,11.22486144101346,3.5946547884187083,11.24228028503563,2.044543429844098
12.235154394299288,4.797327394209354,12.226444972288204,3.6213808463251667,12.235154394299288,4.810690423162583,12.235154394299288,3.2873051224944314
