,year,abd,sco
0,1998,100.0,100.0
1,1999,99.54819277108432,101.28205128205127
2,2000,100.45180722891567,103.84615384615385
3,2001,105.72289156626506,106.6951566951567
4,2002,108.13253012048192,108.68945868945868
5,2003,106.32530120481927,111.82336182336181
6,2004,110.39156626506023,115.5270655270655
7,2005,114.60843373493974,119.37321937321937
8,2006,128.1626506024096,123.93162393162393
9,2007,138.7048192771084,124.78632478632477
10,2008,146.3855421686747,126.78062678062678
11,2009,142.77108433734938,123.50427350427351
12,2010,146.53614457831324,123.93162393162393
13,2011,148.79518072289156,126.35327635327636
14,2012,154.96987951807228,128.06267806267806
15,2013,162.1987951807229,131.33903133903132
16,2014,170.3313253012048,134.75783475783473
17,2015,174.69879518072287,136.60968660968663
18,2016,160.54216867469876,137.03703703703704
19,2017,155.42168674698794,140.74074074074073
20,2018,151.50602409638552,140.74074074074073
21,2019,150.6024096385542,142.45014245014244
22,2020,136.29518072289156,129.05982905982904
