,Month,Region,Index,Date
0,July 2014,Aberdeen City and Aberdeenshire,100.0,28 July 2014
1,July 2014,Caithness and Sutherland and Ross and Cromarty,100.0,28 July 2014
2,July 2014,"Inverness and Nairn and Moray, Badenoch and Strathspey",100.0,28 July 2014
3,July 2014,"Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute",100.0,28 July 2014
4,July 2014,Na h-Eileanan Siar,100.0,28 July 2014
5,July 2014,Orkney Islands,100.0,28 July 2014
6,July 2014,Shetland Islands,100.0,28 July 2014
7,July 2014,Angus and Dundee City,100.0,28 July 2014
8,July 2014,Clackmannanshire and Fife,100.0,28 July 2014
9,July 2014,East Lothian and Midlothian,100.0,28 July 2014
10,July 2014,City of Edinburgh,100.0,28 July 2014
11,July 2014,Falkirk,100.0,28 July 2014
12,July 2014,Perth and Kinross and Stirling,100.0,28 July 2014
13,July 2014,West Lothian,100.0,28 July 2014
14,July 2014,"East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond",100.0,28 July 2014
15,July 2014,Glasgow City,100.0,28 July 2014
16,July 2014,"Inverclyde, East Renfrewshire and Renfrewshire",100.0,28 July 2014
17,July 2014,North Lanarkshire,100.0,28 July 2014
18,July 2014,Scottish Borders,100.0,28 July 2014
19,July 2014,Dumfries and Galloway,100.0,28 July 2014
20,July 2014,East Ayrshire and North Ayrshire mainland,100.0,28 July 2014
21,July 2014,South Ayrshire,100.0,28 July 2014
22,July 2014,South Lanarkshire,100.0,28 July 2014
23,August 2014,Aberdeen City and Aberdeenshire,100.5,28 August 2014
24,August 2014,Caithness and Sutherland and Ross and Cromarty,100.3,28 August 2014
25,August 2014,"Inverness and Nairn and Moray, Badenoch and Strathspey",100.4,28 August 2014
26,August 2014,"Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute",100.5,28 August 2014
27,August 2014,Na h-Eileanan Siar,99.4,28 August 2014
28,August 2014,Orkney Islands,99.8,28 August 2014
29,August 2014,Shetland Islands,99.9,28 August 2014
30,August 2014,Angus and Dundee City,100.2,28 August 2014
31,August 2014,Clackmannanshire and Fife,100.1,28 August 2014
32,August 2014,East Lothian and Midlothian,100.4,28 August 2014
33,August 2014,City of Edinburgh,100.1,28 August 2014
34,August 2014,Falkirk,100.5,28 August 2014
35,August 2014,Perth and Kinross and Stirling,99.7,28 August 2014
36,August 2014,West Lothian,100.8,28 August 2014
37,August 2014,"East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond",100.5,28 August 2014
38,August 2014,Glasgow City,100.9,28 August 2014
39,August 2014,"Inverclyde, East Renfrewshire and Renfrewshire",100.1,28 August 2014
40,August 2014,North Lanarkshire,100.8,28 August 2014
41,August 2014,Scottish Borders,100.2,28 August 2014
42,August 2014,Dumfries and Galloway,100.6,28 August 2014
43,August 2014,East Ayrshire and North Ayrshire mainland,100.2,28 August 2014
44,August 2014,South Ayrshire,100.4,28 August 2014
45,August 2014,South Lanarkshire,100.5,28 August 2014
46,September 2014,Aberdeen City and Aberdeenshire,100.7,28 September 2014
47,September 2014,Caithness and Sutherland and Ross and Cromarty,101.2,28 September 2014
48,September 2014,"Inverness and Nairn and Moray, Badenoch and Strathspey",101.5,28 September 2014
49,September 2014,"Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute",101.2,28 September 2014
50,September 2014,Na h-Eileanan Siar,100.2,28 September 2014
51,September 2014,Orkney Islands,100.2,28 September 2014
52,September 2014,Shetland Islands,100.4,28 September 2014
53,September 2014,Angus and Dundee City,100.7,28 September 2014
54,September 2014,Clackmannanshire and Fife,100.7,28 September 2014
55,September 2014,East Lothian and Midlothian,100.7,28 September 2014
56,September 2014,City of Edinburgh,100.6,28 September 2014
57,September 2014,Falkirk,101.1,28 September 2014
58,September 2014,Perth and Kinross and Stirling,100.2,28 September 2014
59,September 2014,West Lothian,101.3,28 September 2014
60,September 2014,"East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond",100.4,28 September 2014
61,September 2014,Glasgow City,100.4,28 September 2014
62,September 2014,"Inverclyde, East Renfrewshire and Renfrewshire",101.0,28 September 2014
63,September 2014,North Lanarkshire,100.8,28 September 2014
64,September 2014,Scottish Borders,99.4,28 September 2014
65,September 2014,Dumfries and Galloway,100.6,28 September 2014
66,September 2014,East Ayrshire and North Ayrshire mainland,100.3,28 September 2014
67,September 2014,South Ayrshire,100.5,28 September 2014
68,September 2014,South Lanarkshire,100.4,28 September 2014
69,October 2014,Aberdeen City and Aberdeenshire,100.2,28 October 2014
70,October 2014,Caithness and Sutherland and Ross and Cromarty,101.1,28 October 2014
71,October 2014,"Inverness and Nairn and Moray, Badenoch and Strathspey",101.6,28 October 2014
72,October 2014,"Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute",101.2,28 October 2014
73,October 2014,Na h-Eileanan Siar,99.6,28 October 2014
74,October 2014,Orkney Islands,101.5,28 October 2014
75,October 2014,Shetland Islands,100.5,28 October 2014
76,October 2014,Angus and Dundee City,100.8,28 October 2014
77,October 2014,Clackmannanshire and Fife,100.2,28 October 2014
78,October 2014,East Lothian and Midlothian,100.4,28 October 2014
79,October 2014,City of Edinburgh,100.5,28 October 2014
80,October 2014,Falkirk,100.4,28 October 2014
81,October 2014,Perth and Kinross and Stirling,99.8,28 October 2014
82,October 2014,West Lothian,100.3,28 October 2014
83,October 2014,"East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond",99.9,28 October 2014
84,October 2014,Glasgow City,100.0,28 October 2014
