,year,tech,db,avg,p5,p95
0,2010,csp,lcoe,0.346,0.276,0.39
1,2010,offwind,lcoe,0.161,0.114,0.204
2,2010,onwind,auction,0.082,0.054,0.105
3,2010,onwind,lcoe,0.086,0.058,0.117
4,2010,pv,auction,0.17,0.148,0.176
5,2010,pv,lcoe,0.378,0.188,0.514
6,2011,csp,lcoe,0.348,0.252,0.477
7,2011,offwind,lcoe,0.175,0.114,0.222
8,2011,onwind,auction,0.108,0.072,0.14
9,2011,onwind,lcoe,0.082,0.057,0.124
10,2011,pv,auction,0.186,0.166,0.286
11,2011,pv,lcoe,0.286,0.162,0.484
12,2012,csp,lcoe,0.353,0.234,0.464
13,2012,offwind,lcoe,0.154,0.115,0.209
14,2012,onwind,auction,0.105,0.074,0.158
15,2012,onwind,lcoe,0.083,0.058,0.111
16,2012,pv,auction,0.167,0.144,0.259
17,2012,pv,lcoe,0.223,0.133,0.403
18,2013,csp,lcoe,0.268,0.194,0.361
19,2013,offwind,lcoe,0.177,0.1,0.277
20,2013,onwind,auction,0.09,0.069,0.14
21,2013,onwind,lcoe,0.082,0.057,0.121
22,2013,pv,auction,0.195,0.13,0.435
23,2013,pv,lcoe,0.175,0.12,0.366
24,2014,csp,lcoe,0.243,0.152,0.293
25,2014,offwind,lcoe,0.183,0.137,0.214
26,2014,onwind,auction,0.08,0.053,0.147
27,2014,onwind,lcoe,0.075,0.057,0.122
28,2014,pv,auction,0.151,0.074,0.291
29,2014,pv,lcoe,0.164,0.097,0.367
30,2015,csp,lcoe,0.251,0.191,0.323
31,2015,offwind,lcoe,0.169,0.125,0.227
32,2015,onwind,auction,0.075,0.048,0.143
33,2015,onwind,lcoe,0.069,0.047,0.126
34,2015,pv,auction,0.119,0.076,0.181
35,2015,pv,lcoe,0.126,0.078,0.29
36,2016,csp,lcoe,0.29,0.236,0.35
37,2016,offwind,lcoe,0.146,0.103,0.401
38,2016,onwind,auction,0.064,0.047,0.127
39,2016,onwind,lcoe,0.066,0.047,0.112
40,2016,pv,auction,0.091,0.067,0.185
41,2016,pv,lcoe,0.114,0.075,0.266
42,2017,csp,lcoe,0.253,0.175,0.289
43,2017,offwind,lcoe,0.131,0.108,0.183
44,2017,onwind,auction,0.058,0.047,0.163
45,2017,onwind,lcoe,0.064,0.045,0.115
46,2017,pv,auction,0.078,0.066,0.113
47,2017,pv,lcoe,0.092,0.056,0.228
48,2018,csp,lcoe,0.184,0.106,0.268
49,2018,offwind,lcoe,0.127,0.102,0.202
50,2018,onwind,auction,0.058,0.04,0.109
51,2018,onwind,lcoe,0.058,0.04,0.1
52,2018,pv,auction,0.063,0.048,0.095
53,2018,pv,lcoe,0.079,0.052,0.215
54,2019,csp,lcoe,0.182,0.144,0.431
55,2019,offwind,lcoe,0.115,0.088,0.157
56,2019,onwind,auction,0.059,0.03,0.085
57,2019,onwind,lcoe,0.053,0.038,0.107
58,2019,pv,auction,0.052,0.042,0.099
59,2019,pv,lcoe,0.068,0.052,0.19
60,2020,csp,auction,0.094,0.07,0.296
61,2020,offwind,auction,0.127,0.067,0.247
62,2020,onwind,auction,0.045,0.032,0.099
63,2020,pv,auction,0.045,0.034,0.071
64,2021,csp,auction,0.075,0.067,0.076
65,2021,offwind,auction,0.139,0.054,0.282
66,2021,onwind,auction,0.043,0.027,0.077
67,2021,pv,auction,0.039,0.03,0.115
68,2022,csp,auction,0.073,0.064,0.074
69,2022,offwind,auction,0.097,0.071,0.137
70,2023,offwind,auction,0.082,0.056,0.141
