,year,score,line,best,cat,oecd
0,2000.0,,,,reading,499.53403
1,2000.25,,,,reading,499.35751
2,2000.5,,,,reading,499.181
3,2000.75,,,,reading,499.00446
4,2001.0,,,,reading,498.82794
5,2001.25,,,,reading,498.65143
6,2001.5,,,,reading,498.47491
7,2001.75,,,,reading,498.2984
8,2002.0,,,,reading,498.12189
9,2002.25,,,,reading,497.94537
10,2002.5,,,,reading,497.76883
11,2002.75,,,,reading,497.59232
12,2003.0,,,,reading,497.4158
13,2003.25,,,,reading,497.25333
14,2003.5,,,,reading,497.09082
15,2003.75,,,,reading,496.92834
16,2004.0,,,,reading,496.76584
17,2004.25,,,,reading,496.60336
18,2004.5,,,,reading,496.44086
19,2004.75,,,,reading,496.27838
20,2005.0,,,,reading,496.11591
21,2005.25,,,,reading,495.9534
22,2005.5,,,,reading,495.79092
23,2005.75,,,,reading,495.62842
24,2006.0,,495.0835,495.99335,reading,495.46594
25,2006.25,,495.00836,496.0419,reading,495.79358
26,2006.5,,494.93326,496.09045,reading,496.12122
27,2006.75,,494.85812,496.13901,reading,496.44885
28,2007.0,,494.78299,496.18753,reading,496.77646
29,2007.25,,494.70789,496.23608,reading,497.1041
30,2007.5,,494.63275,496.28464,reading,497.43173
31,2007.75,,494.55762,496.33319,reading,497.75937
32,2008.0,,494.48251,496.38174,reading,498.08701
33,2008.25,,494.40738,496.4303,reading,498.41461
34,2008.5,,494.33224,496.47885,reading,498.74225
35,2008.75,,494.25714,496.5274,reading,499.06989
36,2009.0,,494.18201,496.57596,reading,499.39752
37,2009.25,,494.61044,496.62451,reading,499.56146
38,2009.5,,495.03885,496.67303,reading,499.7254
39,2009.75,,495.46729,496.72159,reading,499.88931
40,2010.0,,495.89572,496.77014,reading,500.05325
41,2010.25,,496.32413,496.8187,reading,500.21719
42,2010.5,,496.75256,496.86725,reading,500.3811
43,2010.75,,497.181,496.9158,reading,500.54504
44,2011.0,,497.60941,496.96436,reading,500.70898
45,2011.25,,498.03784,497.01291,reading,500.87292
46,2011.5,,498.46628,497.06146,reading,501.03687
47,2011.75,,498.89468,497.10999,reading,501.20078
48,2012.0,,499.32312,497.15854,reading,501.36472
49,2012.25,,499.21051,497.20709,reading,501.02173
50,2012.5,,499.09793,497.25565,reading,500.67874
