,date,ttotal_pay,regular_pay
0,2001-02-01,4.9,2.7
1,2001-03-01,4.9,3.2
2,2001-04-01,3.6,3.3
3,2001-05-01,3.7,3.2
4,2001-06-01,3.3,3.2
5,2001-07-01,3.2,3.4
6,2001-08-01,2.9,3.4
7,2001-09-01,3.0,3.3
8,2001-10-01,3.0,3.3
9,2001-11-01,2.7,3.2
10,2002-12-01,2.3,3.0
11,2002-01-01,1.6,3.0
12,2002-02-01,1.4,3.0
13,2002-03-01,1.3,2.9
14,2002-04-01,1.8,2.8
15,2002-05-01,2.1,2.9
16,2002-06-01,2.4,2.9
17,2002-07-01,2.2,2.5
18,2002-08-01,2.0,2.1
19,2002-09-01,1.6,1.8
20,2002-10-01,1.4,1.7
21,2002-11-01,1.1,1.4
22,2003-12-01,1.0,1.5
23,2003-01-01,0.8,1.6
24,2003-02-01,1.3,1.5
25,2003-03-01,1.5,1.4
26,2003-04-01,1.8,1.5
27,2003-05-01,1.4,1.8
28,2003-06-01,1.4,1.8
29,2003-07-01,1.5,1.9
30,2003-08-01,1.9,2.1
31,2003-09-01,2.3,2.3
32,2003-10-01,2.4,2.3
33,2003-11-01,2.6,2.6
34,2004-12-01,2.6,2.4
35,2004-01-01,2.6,2.2
36,2004-02-01,2.6,2.0
37,2004-03-01,2.7,2.2
38,2004-04-01,2.8,2.3
39,2004-05-01,2.8,2.2
40,2004-06-01,2.8,2.1
41,2004-07-01,2.9,2.3
42,2004-08-01,3.0,2.4
43,2004-09-01,3.1,2.5
44,2004-10-01,3.1,2.4
45,2004-11-01,3.1,2.4
46,2005-12-01,3.1,2.3
47,2005-01-01,3.3,2.5
48,2005-02-01,3.0,2.5
49,2005-03-01,2.8,2.4
50,2005-04-01,2.3,2.3
51,2005-05-01,2.3,2.2
52,2005-06-01,2.4,2.2
53,2005-07-01,2.5,2.1
54,2005-08-01,2.4,2.0
55,2005-09-01,2.3,1.9
56,2005-10-01,2.2,1.9
57,2005-11-01,2.1,1.8
58,2006-12-01,2.0,1.8
59,2006-01-01,2.5,1.8
60,2006-02-01,2.8,1.8
61,2006-03-01,3.1,1.7
62,2006-04-01,2.6,1.6
63,2006-05-01,2.5,1.5
64,2006-06-01,2.3,1.4
65,2006-07-01,2.0,1.1
66,2006-08-01,1.5,0.9
67,2006-09-01,1.4,1.0
68,2006-10-01,1.6,1.2
69,2006-11-01,2.0,1.3
70,2007-12-01,2.6,1.2
71,2007-01-01,3.6,1.1
72,2007-02-01,3.1,1.1
73,2007-03-01,2.4,1.1
74,2007-04-01,1.6,1.3
75,2007-05-01,1.9,1.5
76,2007-06-01,2.2,2.0
77,2007-07-01,2.6,2.4
78,2007-08-01,3.1,2.7
79,2007-09-01,2.9,2.4
80,2007-10-01,2.6,2.0
81,2007-11-01,1.7,1.7
82,2008-12-01,1.5,1.7
83,2008-01-01,1.3,1.6
84,2008-02-01,1.8,1.6
85,2008-03-01,1.7,1.6
86,2008-04-01,1.5,1.2
87,2008-05-01,0.6,0.6
88,2008-06-01,-0.1,-0.2
89,2008-07-01,-0.8,-0.7
90,2008-08-01,-1.4,-1.1
91,2008-09-01,-1.4,-1.0
92,2008-10-01,-1.5,-0.8
93,2008-11-01,-0.9,-0.3
94,2009-12-01,-2.0,-0.2
95,2009-01-01,-4.3,-0.2
96,2009-02-01,-5.7,-0.5
97,2009-03-01,-4.5,-0.5
98,2009-04-01,-2.0,-0.3
99,2009-05-01,-0.7,0.1
100,2009-06-01,-1.0,0.1
101,2009-07-01,-0.9,0.0
102,2009-08-01,-0.7,0.0
103,2009-09-01,-0.7,0.0
104,2009-10-01,-0.6,-0.1
105,2009-11-01,-0.8,-0.5
106,2010-12-01,-0.8,-0.6
107,2010-01-01,0.7,-0.6
108,2010-02-01,2.2,-0.5
109,2010-03-01,1.7,-0.7
110,2010-04-01,0.0,-0.9
111,2010-05-01,-1.5,-1.2
112,2010-06-01,-0.9,-0.8
113,2010-07-01,-0.6,-0.4
114,2010-08-01,-0.5,-0.1
115,2010-09-01,-0.4,-0.2
116,2010-10-01,-0.5,-0.2
117,2010-11-01,-0.9,-0.6
118,2011-12-01,-0.3,-0.8
119,2011-01-01,-0.6,-1.2
120,2011-02-01,-0.6,-1.4
121,2011-03-01,-1.5,-1.6
122,2011-04-01,-1.5,-1.6
123,2011-05-01,-1.3,-1.6
124,2011-06-01,-1.2,-1.8
125,2011-07-01,-1.3,-2.0
126,2011-08-01,-1.9,-2.4
127,2011-09-01,-2.3,-2.4
128,2011-10-01,-2.3,-2.4
129,2011-11-01,-2.0,-2.1
130,2012-12-01,-2.1,-2.0
131,2012-01-01,-2.0,-1.7
132,2012-02-01,-2.3,-1.6
133,2012-03-01,-1.7,-1.2
134,2012-04-01,-1.4,-1.0
135,2012-05-01,-1.0,-0.8
136,2012-06-01,-1.0,-0.6
137,2012-07-01,-0.8,-0.4
138,2012-08-01,-0.5,-0.4
139,2012-09-01,-0.5,-0.6
140,2012-10-01,-0.8,-0.8
141,2012-11-01,-1.0,-1.1
142,2013-12-01,-1.0,-1.2
143,2013-01-01,-1.1,-1.4
144,2013-02-01,-1.7,-1.6
145,2013-03-01,-1.0,-1.5
146,2013-04-01,-0.9,-1.4
147,2013-05-01,-0.4,-1.4
148,2013-06-01,-1.3,-1.5
149,2013-07-01,-1.6,-1.7
150,2013-08-01,-1.6,-1.7
151,2013-09-01,-1.4,-1.6
152,2013-10-01,-1.2,-1.4
153,2013-11-01,-0.9,-1.0
154,2014-12-01,-0.6,-0.7
155,2014-01-01,-0.1,-0.5
156,2014-02-01,0.0,-0.5
157,2014-03-01,-1.0,-0.9
158,2014-04-01,-1.6,-1.0
159,2014-05-01,-1.7,-1.1
160,2014-06-01,-1.2,-1.0
161,2014-07-01,-1.0,-0.9
162,2014-08-01,-0.6,-0.4
163,2014-09-01,0.0,0.1
164,2014-10-01,0.5,0.5
165,2014-11-01,1.0,0.6
166,2015-12-01,1.1,0.7
167,2015-01-01,1.2,1.2
168,2015-02-01,1.9,1.8
169,2015-03-01,2.3,2.2
170,2015-04-01,2.7,2.4
171,2015-05-01,2.1,2.4
172,2015-06-01,2.4,2.4
173,2015-07-01,2.6,2.3
174,2015-08-01,2.6,2.1
175,2015-09-01,2.1,1.7
176,2015-10-01,1.7,1.6
177,2015-11-01,1.5,1.5
178,2016-12-01,1.6,1.6
179,2016-01-01,1.4,1.6
180,2016-02-01,1.5,1.6
181,2016-03-01,1.4,1.6
182,2016-04-01,1.7,1.4
183,2016-05-01,1.7,1.5
184,2016-06-01,1.7,1.4
185,2016-07-01,1.5,1.4
186,2016-08-01,1.4,1.3
187,2016-09-01,1.3,1.3
188,2016-10-01,1.3,1.2
189,2016-11-01,0.9,1.0
190,2017-12-01,0.4,0.6
191,2017-01-01,0.1,0.0
192,2017-02-01,0.0,-0.4
193,2017-03-01,-0.2,-0.6
194,2017-04-01,-0.5,-0.5
195,2017-05-01,-0.3,-0.4
196,2017-06-01,-0.4,-0.3
197,2017-07-01,-0.3,-0.4
198,2017-08-01,-0.4,-0.4
199,2017-09-01,-0.2,-0.4
200,2017-10-01,-0.3,-0.4
201,2017-11-01,-0.2,-0.3
202,2018-12-01,-0.1,-0.2
203,2018-01-01,0.2,0.1
204,2018-02-01,0.3,0.3
205,2018-03-01,0.4,0.5
206,2018-04-01,0.4,0.5
207,2018-05-01,0.0,0.4
208,2018-06-01,0.3,0.5
209,2018-07-01,0.5,0.7
210,2018-08-01,0.8,0.9
211,2018-09-01,1.1,1.0
212,2018-10-01,1.2,1.1
213,2018-11-01,1.4,1.2
214,2019-12-01,1.4,1.4
215,2019-01-01,1.6,1.5
216,2019-02-01,1.4,1.5
217,2019-03-01,1.4,1.5
218,2019-04-01,1.5,1.7
219,2019-05-01,2.0,2.0
220,2019-06-01,2.0,2.0
221,2019-07-01,1.8,1.9
222,2019-08-01,2.0,1.8
223,2019-09-01,1.6,1.7
224,2019-10-01,1.6,1.7
225,2019-11-01,1.3,1.7
226,2020-12-01,1.4,1.5
227,2020-01-01,1.2,1.3
228,2020-02-01,0.7,1.0
229,2020-03-01,-0.4,0.4
230,2020-04-01,-1.4,-0.3
231,2020-05-01,-2.1,-0.9
232,2020-06-01,-1.8,-0.6
233,2020-07-01,-0.7,0.2
234,2020-08-01,0.5,1.2
235,2020-09-01,2.0,2.1
236,2020-10-01,3.0,2.8
237,2020-11-01,3.9,3.3
238,2021-12-01,4.1,3.5
239,2021-01-01,3.7,3.5
240,2021-02-01,3.3,3.6
241,2021-03-01,4.6,4.4
242,2021-04-01,5.9,5.0
243,2021-05-01,7.1,5.3
244,2021-06-01,6.3,4.6
245,2021-07-01,4.8,3.4
246,2021-08-01,3.4,2.2
247,2021-09-01,1.8,1.0
248,2021-10-01,0.3,0.0
249,2021-11-01,0.0,-0.8
250,2022-12-01,-0.3,-1.0
251,2022-01-01,0.2,-1.1
252,2022-02-01,0.8,-1.3
253,2022-03-01,-0.2,-2.2
254,2022-04-01,-1.2,-2.6
255,2022-05-01,-2.7,-3.0
256,2022-06-01,-2.5,-2.8
257,2022-07-01,-2.3,-2.8
258,2022-08-01,-2.6,-2.7
259,2022-09-01,-2.6,-2.7
260,2022-10-01,-2.5,-2.5
261,2022-11-01,-3.0,-2.5
262,2023-12-01,-3.0,-2.3
263,2023-01-01,-3.1,-2.2
264,2023-02-01,-2.8,-2.0
265,2023-03-01,-1.8,-1.2
266,2023-04-01,-1.2,-0.8
