,Date,Total pay,Regular pay,date2
0,Jan to Mar 2001,4.9,2.7,2001-01-30
1,Feb to Apr 2001,4.9,3.2,2001-03-02
2,Mar to May 2001,3.6,3.3,2001-04-01
3,Apr to Jun 2001,3.7,3.2,2001-05-02
4,May to Jul 2001,3.3,3.2,2001-06-01
5,Jun to Aug 2001,3.2,3.4,2001-07-02
6,Jul to Sep 2001,2.9,3.4,2001-08-02
7,Aug to Oct 2001,3.0,3.3,2001-09-01
8,Sep to Nov 2001,3.0,3.3,2001-10-02
9,Oct to Dec 2001,2.7,3.2,2001-11-01
10,Nov to Jan 2002,2.3,3.0,2001-12-02
11,Dec to Feb 2002,1.6,3.0,2002-01-02
12,Jan to Mar 2002,1.4,3.0,2002-01-30
13,Feb to Apr 2002,1.3,2.9,2002-03-02
14,Mar to May 2002,1.8,2.8,2002-04-01
15,Apr to Jun 2002,2.1,2.9,2002-05-02
16,May to Jul 2002,2.4,2.9,2002-06-01
17,Jun to Aug 2002,2.2,2.5,2002-07-02
18,Jul to Sep 2002,2.0,2.1,2002-08-02
19,Aug to Oct 2002,1.6,1.8,2002-09-01
20,Sep to Nov 2002,1.4,1.7,2002-10-02
21,Oct to Dec 2002,1.1,1.4,2002-11-01
22,Nov to Jan 2003,1.0,1.5,2002-12-02
23,Dec to Feb 2003,0.8,1.6,2003-01-02
24,Jan to Mar 2003,1.3,1.5,2003-01-30
25,Feb to Apr 2003,1.5,1.4,2003-03-02
26,Mar to May 2003,1.8,1.5,2003-04-01
27,Apr to Jun 2003,1.4,1.8,2003-05-02
28,May to Jul 2003,1.4,1.8,2003-06-01
29,Jun to Aug 2003,1.5,1.9,2003-07-02
30,Jul to Sep 2003,1.9,2.1,2003-08-02
31,Aug to Oct 2003,2.3,2.3,2003-09-01
32,Sep to Nov 2003,2.4,2.3,2003-10-02
33,Oct to Dec 2003,2.6,2.6,2003-11-01
34,Nov to Jan 2004,2.6,2.4,2003-12-02
35,Dec to Feb 2004,2.6,2.2,2004-01-02
36,Jan to Mar 2004,2.6,2.0,2004-01-31
37,Feb to Apr 2004,2.7,2.2,2004-03-02
38,Mar to May 2004,2.8,2.3,2004-04-01
39,Apr to Jun 2004,2.8,2.2,2004-05-02
40,May to Jul 2004,2.8,2.1,2004-06-01
41,Jun to Aug 2004,2.9,2.3,2004-07-02
42,Jul to Sep 2004,3.0,2.4,2004-08-02
43,Aug to Oct 2004,3.1,2.5,2004-09-01
44,Sep to Nov 2004,3.1,2.4,2004-10-02
45,Oct to Dec 2004,3.1,2.4,2004-11-01
46,Nov to Jan 2005,3.1,2.3,2004-12-02
47,Dec to Feb 2005,3.3,2.5,2005-01-02
48,Jan to Mar 2005,3.0,2.5,2005-01-30
49,Feb to Apr 2005,2.8,2.4,2005-03-02
50,Mar to May 2005,2.3,2.3,2005-04-01
51,Apr to Jun 2005,2.3,2.2,2005-05-02
52,May to Jul 2005,2.4,2.2,2005-06-01
53,Jun to Aug 2005,2.5,2.1,2005-07-02
54,Jul to Sep 2005,2.4,2.0,2005-08-02
55,Aug to Oct 2005,2.3,1.9,2005-09-01
56,Sep to Nov 2005,2.2,1.9,2005-10-02
57,Oct to Dec 2005,2.1,1.8,2005-11-01
58,Nov to Jan 2006,2.0,1.8,2005-12-02
59,Dec to Feb 2006,2.5,1.8,2006-01-02
60,Jan to Mar 2006,2.8,1.8,2006-01-30
61,Feb to Apr 2006,3.1,1.7,2006-03-02
62,Mar to May 2006,2.6,1.6,2006-04-01
63,Apr to Jun 2006,2.5,1.5,2006-05-02
64,May to Jul 2006,2.3,1.4,2006-06-01
65,Jun to Aug 2006,2.0,1.1,2006-07-02
66,Jul to Sep 2006,1.5,0.9,2006-08-02
67,Aug to Oct 2006,1.4,1.0,2006-09-01
68,Sep to Nov 2006,1.6,1.2,2006-10-02
69,Oct to Dec 2006,2.0,1.3,2006-11-01
70,Nov to Jan 2007,2.6,1.2,2006-12-02
71,Dec to Feb 2007,3.6,1.1,2007-01-02
72,Jan to Mar 2007,3.1,1.1,2007-01-30
73,Feb to Apr 2007,2.4,1.1,2007-03-02
74,Mar to May 2007,1.6,1.3,2007-04-01
75,Apr to Jun 2007,1.9,1.5,2007-05-02
76,May to Jul 2007,2.2,2.0,2007-06-01
77,Jun to Aug 2007,2.6,2.4,2007-07-02
78,Jul to Sep 2007,3.1,2.7,2007-08-02
79,Aug to Oct 2007,2.9,2.4,2007-09-01
80,Sep to Nov 2007,2.6,2.0,2007-10-02
81,Oct to Dec 2007,1.7,1.7,2007-11-01
82,Nov to Jan 2008,1.5,1.7,2007-12-02
83,Dec to Feb 2008,1.3,1.6,2008-01-02
84,Jan to Mar 2008,1.8,1.6,2008-01-31
85,Feb to Apr 2008,1.7,1.6,2008-03-02
86,Mar to May 2008,1.5,1.2,2008-04-01
87,Apr to Jun 2008,0.6,0.6,2008-05-02
88,May to Jul 2008,-0.1,-0.2,2008-06-01
89,Jun to Aug 2008,-0.8,-0.7,2008-07-02
90,Jul to Sep 2008,-1.4,-1.1,2008-08-02
91,Aug to Oct 2008,-1.4,-1.0,2008-09-01
92,Sep to Nov 2008,-1.5,-0.8,2008-10-02
93,Oct to Dec 2008,-0.9,-0.3,2008-11-01
94,Nov to Jan 2009,-2.0,-0.2,2008-12-02
95,Dec to Feb 2009,-4.3,-0.2,2009-01-02
96,Jan to Mar 2009,-5.7,-0.5,2009-01-30
97,Feb to Apr 2009,-4.5,-0.5,2009-03-02
98,Mar to May 2009,-2.0,-0.3,2009-04-01
99,Apr to Jun 2009,-0.7,0.1,2009-05-02
100,May to Jul 2009,-1.0,0.1,2009-06-01
101,Jun to Aug 2009,-0.9,0.0,2009-07-02
102,Jul to Sep 2009,-0.7,0.0,2009-08-02
103,Aug to Oct 2009,-0.7,0.0,2009-09-01
104,Sep to Nov 2009,-0.6,-0.1,2009-10-02
105,Oct to Dec 2009,-0.8,-0.5,2009-11-01
106,Nov to Jan 2010,-0.8,-0.6,2009-12-02
107,Dec to Feb 2010,0.7,-0.6,2010-01-02
108,Jan to Mar 2010,2.2,-0.5,2010-01-30
109,Feb to Apr 2010,1.7,-0.7,2010-03-02
110,Mar to May 2010,0.0,-0.9,2010-04-01
