,date,region,value
0,2014-07-01,North East,0.7983237297014144
1,2014-07-01,North West,0.7793814432989691
2,2014-07-01,Yorkshire and The Humber,0.7944621938232161
3,2014-07-01,East Midlands,0.7811691670977755
4,2014-07-01,West Midlands,0.7922755741127349
5,2014-07-01,East,0.7162933684672815
6,2014-07-01,London,0.65252799457075
7,2014-07-01,South East,0.6849260295881647
8,2014-07-01,South West,0.7754149377593361
9,2014-07-01,Wales,0.8106060606060606
10,2014-07-01,Scotland,0.7757889778615167
11,2014-07-01,Northern Ireland,0.8137629710540688
12,2014-07-01,UK,0.7300137048880767
13,2014-08-01,North East,0.7976999477260847
14,2014-08-01,North West,0.7802991232594121
15,2014-08-01,Yorkshire and The Humber,0.7952127659574468
16,2014-08-01,East Midlands,0.7820910973084886
17,2014-08-01,West Midlands,0.791970802919708
18,2014-08-01,East,0.7174672489082969
19,2014-08-01,London,0.6458752515090543
20,2014-08-01,South East,0.6855773072313224
21,2014-08-01,South West,0.7755313634007258
22,2014-08-01,Wales,0.8133478024959305
23,2014-08-01,Scotland,0.7761053621825024
24,2014-08-01,Northern Ireland,0.8100163309744148
25,2014-08-01,UK,0.7290528233151184
26,2014-09-01,North East,0.7972831765935214
27,2014-09-01,North West,0.7807017543859649
28,2014-09-01,Yorkshire and The Humber,0.7954303931987248
29,2014-09-01,East Midlands,0.7816864976720124
30,2014-09-01,West Midlands,0.7916666666666666
31,2014-09-01,East,0.71652856519843
32,2014-09-01,London,0.648285137861466
33,2014-09-01,South East,0.685702875399361
34,2014-09-01,South West,0.7732438016528925
35,2014-09-01,Wales,0.8098325229605619
36,2014-09-01,Scotland,0.7733458470201783
37,2014-09-01,Northern Ireland,0.808695652173913
38,2014-09-01,UK,0.728720983158853
39,2014-10-01,North East,0.8017782426778243
40,2014-10-01,North West,0.7816683831101957
41,2014-10-01,Yorkshire and The Humber,0.7968169761273209
42,2014-10-01,East Midlands,0.7830578512396694
43,2014-10-01,West Midlands,0.791363163371488
44,2014-10-01,East,0.7218804920913884
45,2014-10-01,London,0.6464680281218614
46,2014-10-01,South East,0.6888
47,2014-10-01,South West,0.7778925619834711
48,2014-10-01,Wales,0.8097035040431266
49,2014-10-01,Scotland,0.7761053621825024
50,2014-10-01,Northern Ireland,0.8106348345089528
51,2014-10-01,UK,0.7302092811646952
52,2014-11-01,North East,0.7958549222797927
53,2014-11-01,North West,0.7805128205128206
54,2014-11-01,Yorkshire and The Humber,0.7926315789473685
55,2014-11-01,East Midlands,0.7818930041152263
56,2014-11-01,West Midlands,0.7878944645628556
57,2014-11-01,East,0.7166521360069747
58,2014-11-01,London,0.6378627968337731
59,2014-11-01,South East,0.6827722772277228
60,2014-11-01,South West,0.7745249101181304
61,2014-11-01,Wales,0.8091152815013405
62,2014-11-01,Scotland,0.7749648382559775
63,2014-11-01,Northern Ireland,0.8110449377368706
64,2014-11-01,UK,0.7256317689530686
65,2014-12-01,North East,0.7927142124166239
66,2014-12-01,North West,0.7746835443037975
67,2014-12-01,Yorkshire and The Humber,0.7881002087682673
68,2014-12-01,East Midlands,0.7763091001525165
69,2014-12-01,West Midlands,0.7830957230142567
70,2014-12-01,East,0.7151515151515152
71,2014-12-01,London,0.633485639686684
72,2014-12-01,South East,0.679230467216333
73,2014-12-01,South West,0.7706422018348624
74,2014-12-01,Wales,0.8060413354531002
75,2014-12-01,Scotland,0.770910780669145
76,2014-12-01,Northern Ireland,0.8096256684491978
77,2014-12-01,UK,0.7221974095578383
78,2015-01-01,North East,0.7948453608247422
79,2015-01-01,North West,0.7760891590678825
80,2015-01-01,Yorkshire and The Humber,0.7901878914405011
81,2015-01-01,East Midlands,0.7773258769700051
82,2015-01-01,West Midlands,0.7840040753948039
83,2015-01-01,East,0.7162629757785467
84,2015-01-01,London,0.6324007807417046
85,2015-01-01,South East,0.6788235294117647
86,2015-01-01,South West,0.7733061640346408
87,2015-01-01,Wales,0.8063324538258575
88,2015-01-01,Scotland,0.7730661696178938
89,2015-01-01,Northern Ireland,0.8064516129032258
90,2015-01-01,UK,0.7232142857142857
91,2015-02-01,North East,0.797514241325738
92,2015-02-01,North West,0.780264496439471
93,2015-02-01,Yorkshire and The Humber,0.7923839332290037
94,2015-02-01,East Midlands,0.780264496439471
95,2015-02-01,West Midlands,0.7858967807869187
96,2015-02-01,East,0.7189259419662192
97,2015-02-01,London,0.6397372742200328
98,2015-02-01,South East,0.6806426332288401
99,2015-02-01,South West,0.7733739837398373
100,2015-02-01,Wales,0.8098028769312733
101,2015-02-01,Scotland,0.7744641192917054
102,2015-02-01,Northern Ireland,0.8019323671497585
103,2015-02-01,UK,0.7251566696508505
104,2015-03-01,North East,0.80429094714809
105,2015-03-01,North West,0.7881136950904393
106,2015-03-01,Yorkshire and The Humber,0.7981072555205048
107,2015-03-01,East Midlands,0.7799385875127943
108,2015-03-01,West Midlands,0.7906378600823045
109,2015-03-01,East,0.7170056252704456
110,2015-03-01,London,0.6432593574031136
111,2015-03-01,South East,0.6864608076009501
112,2015-03-01,South West,0.776134625191229
113,2015-03-01,Wales,0.8134048257372655
114,2015-03-01,Scotland,0.7762172284644194
115,2015-03-01,Northern Ireland,0.8144329896907216
116,2015-03-01,UK,0.7298150654036987
117,2015-04-01,North East,0.7984375
118,2015-04-01,North West,0.774949083503055
119,2015-04-01,Yorkshire and The Humber,0.7926892950391645
120,2015-04-01,East Midlands,0.7751147373788884
121,2015-04-01,West Midlands,0.7872559095580678
