,duration,subject,inequality,grade,value
0,13-19,Math,Decreased,2,1
1,13-19,Math,Decreased,8,1
2,1-12,Math,Decreased,1,1
3,1-12,Math,Decreased,7,1
3,1-12,Math,Decreased,7,1
4,1-12,Math,Decreased,8,1
4,1-12,Math,Decreased,8,1
5,0-6,Math,Decreased,4,1
6,0-6,Reading,Decreased,4,1
7,0-6,Reading,Decreased,5,1
8,0-6,Reading,Decreased,7,1
9,13-19,Math,No change,3,1
10,13-19,Reading,No change,2,1
11,13-19,Reading,No change,3,1
12,13-19,Reading,No change,4,1
13,13-19,Reading,No change,5,1
14,13-19,Reading,No change,6,1
15,1-12,Math,No change,2,1
16,1-12,Math,No change,3,1
16,1-12,Math,No change,3,1
16,1-12,Math,No change,3,1
17,1-12,Math,No change,4,1
17,1-12,Math,No change,4,1
17,1-12,Math,No change,4,1
18,1-12,Math,No change,5,1
18,1-12,Math,No change,5,1
19,1-12,Math,No change,6,1
19,1-12,Math,No change,6,1
20,1-12,Math,No change,8,1
21,1-12,Math,No change,9,1
22,1-12,Reading,No change,2,1
23,1-12,Reading,No change,3,1
23,1-12,Reading,No change,3,1
23,1-12,Reading,No change,3,1
24,1-12,Reading,No change,4,1
24,1-12,Reading,No change,4,1
24,1-12,Reading,No change,4,1
25,1-12,Reading,No change,5,1
25,1-12,Reading,No change,5,1
26,1-12,Reading,No change,7,1
26,1-12,Reading,No change,7,1
27,1-12,Reading,No change,8,1
27,1-12,Reading,No change,8,1
27,1-12,Reading,No change,8,1
28,1-12,Reading,No change,9,1
29,0-6,Math,No change,3,1
30,0-6,Reading,No change,1,1
31,0-6,Reading,No change,2,1
32,0-6,Reading,No change,5,1
33,13-19,Math,Increased,1,1
34,13-19,Math,Increased,3,1
34,13-19,Math,Increased,3,1
35,13-19,Math,Increased,4,1
35,13-19,Math,Increased,4,1
35,13-19,Math,Increased,4,1
36,13-19,Math,Increased,5,1
36,13-19,Math,Increased,5,1
36,13-19,Math,Increased,5,1
36,13-19,Math,Increased,5,1
37,13-19,Math,Increased,6,1
37,13-19,Math,Increased,6,1
37,13-19,Math,Increased,6,1
37,13-19,Math,Increased,6,1
37,13-19,Math,Increased,6,1
38,13-19,Math,Increased,7,1
38,13-19,Math,Increased,7,1
38,13-19,Math,Increased,7,1
39,13-19,Math,Increased,8,1
39,13-19,Math,Increased,8,1
40,13-19,Reading,Increased,1,1
