,date,all_rate,serv_rate_w,goods_rate_w
0,2020-01-19,1.8,1.127,0.663
1,2020-02-19,1.7,1.225,0.51
2,2020-03-19,1.5,1.225,0.306
3,2020-04-19,0.8,0.98,-0.204
4,2020-05-19,0.5,0.931,-0.459
5,2020-06-19,0.6,0.882,-0.255
6,2020-07-19,1,1.029,0.0
7,2020-08-19,0.2,0.294,-0.102
8,2020-09-19,0.5,0.686,-0.153
9,2020-10-19,0.7,0.686,0.0
10,2020-11-19,0.3,0.686,-0.408
11,2020-12-19,0.6,0.735,-0.153
12,2021-01-19,0.7,0.7378,-0.1132
13,2021-02-19,0.4,0.651,-0.283
14,2021-03-19,0.7,0.651,0.0
15,2021-04-19,1.5,0.6944,0.849
16,2021-05-19,2.1,0.8246,1.3018
17,2021-06-19,2.5,0.9114,1.5848
18,2021-07-19,2,0.6944,1.415
19,2021-08-19,3.2,1.302,1.8678
20,2021-09-19,3.1,1.1284,1.9244
21,2021-10-19,4.2,1.3888,2.7734
22,2021-11-19,5.1,1.4322,3.679
23,2021-12-19,5.4,1.4756,3.9054
