,date,out,in
0,2015-01-01 00:00:00,-3.7,-6.4
1,2015-02-01 00:00:00,-3.5,-6.3
2,2015-03-01 00:00:00,-3.3,-6.2
3,2015-04-01 00:00:00,-3.2,-5.7
4,2015-05-01 00:00:00,-2.8,-6.0
5,2015-06-01 00:00:00,-2.8,-6.2
6,2015-07-01 00:00:00,-3.0,-6.0
7,2015-08-01 00:00:00,-3.4,-6.9
8,2015-09-01 00:00:00,-3.3,-6.4
9,2015-10-01 00:00:00,-2.8,-5.9
10,2015-11-01 00:00:00,-2.7,-6.3
11,2015-12-01 00:00:00,-2.1,-5.3
12,2016-01-01 00:00:00,-1.2,-4.1
13,2016-02-01 00:00:00,-1.4,-3.9
14,2016-03-01 00:00:00,-1.3,-3.0
15,2016-04-01 00:00:00,-1.3,-2.6
16,2016-05-01 00:00:00,-1.5,-1.6
17,2016-06-01 00:00:00,-0.9,-0.2
18,2016-07-01 00:00:00,-0.1,2.1
19,2016-08-01 00:00:00,0.7,4.0
20,2016-09-01 00:00:00,1.2,4.2
21,2016-10-01 00:00:00,2.3,6.7
22,2016-11-01 00:00:00,2.7,7.4
23,2016-12-01 00:00:00,3.3,8.8
24,2017-01-01 00:00:00,4.1,10.3
25,2017-02-01 00:00:00,4.3,10.3
26,2017-03-01 00:00:00,4.2,9.5
27,2017-04-01 00:00:00,4.2,9.0
28,2017-05-01 00:00:00,4.2,7.8
29,2017-06-01 00:00:00,3.7,7.0
30,2017-07-01 00:00:00,3.5,5.5
31,2017-08-01 00:00:00,3.8,6.0
32,2017-09-01 00:00:00,4.0,6.0
33,2017-10-01 00:00:00,3.4,4.3
34,2017-11-01 00:00:00,3.7,5.3
35,2017-12-01 00:00:00,3.7,4.5
36,2018-01-01 00:00:00,3.0,3.8
37,2018-02-01 00:00:00,2.7,3.4
38,2018-03-01 00:00:00,2.7,3.6
39,2018-04-01 00:00:00,3.1,3.9
40,2018-05-01 00:00:00,4.0,5.6
41,2018-06-01 00:00:00,4.4,6.0
42,2018-07-01 00:00:00,4.0,5.9
43,2018-08-01 00:00:00,3.8,5.6
44,2018-09-01 00:00:00,3.8,6.0
45,2018-10-01 00:00:00,3.9,5.8
46,2018-11-01 00:00:00,3.3,3.8
47,2018-12-01 00:00:00,2.5,3.0
48,2019-01-01 00:00:00,2.2,2.4
49,2019-02-01 00:00:00,2.4,2.8
50,2019-03-01 00:00:00,2.4,2.4
51,2019-04-01 00:00:00,2.3,2.9
52,2019-05-01 00:00:00,1.9,1.4
53,2019-06-01 00:00:00,1.4,0.8
54,2019-07-01 00:00:00,1.8,1.2
55,2019-08-01 00:00:00,1.4,0.5
56,2019-09-01 00:00:00,0.8,-0.7
57,2019-10-01 00:00:00,0.2,-1.7
58,2019-11-01 00:00:00,0.0,-1.2
59,2019-12-01 00:00:00,0.5,-0.3
60,2020-01-01 00:00:00,0.9,0.0
61,2020-02-01 00:00:00,0.5,-0.7
62,2020-03-01 00:00:00,-0.2,-1.8
63,2020-04-01 00:00:00,-1.7,-4.7
64,2020-05-01 00:00:00,-2.3,-4.3
65,2020-06-01 00:00:00,-1.7,-2.9
66,2020-07-01 00:00:00,-1.7,-2.8
67,2020-08-01 00:00:00,-1.7,-3.0
68,2020-09-01 00:00:00,-1.8,-2.2
69,2020-10-01 00:00:00,-1.4,-1.2
70,2020-11-01 00:00:00,-0.6,-0.3
71,2020-12-01 00:00:00,-0.2,0.8
72,2021-01-01 00:00:00,0.2,1.9
73,2021-02-01 00:00:00,1.1,3.3
74,2021-03-01 00:00:00,1.9,6.1
75,2021-04-01 00:00:00,3.5,9.7
76,2021-05-01 00:00:00,4.4,10.4
77,2021-06-01 00:00:00,4.6,9.7
78,2021-07-01 00:00:00,5.4,10.6
79,2021-08-01 00:00:00,6.2,11.4
80,2021-09-01 00:00:00,7.0,12.4
81,2021-10-01 00:00:00,8.8,14.0
82,2021-11-01 00:00:00,9.4,15.2
83,2021-12-01 00:00:00,9.3,13.5
99,2022-01-01,,
