,year,debt
0,1972,52.6
1,1973,46.6
2,1974,45.2
3,1975,47.7
4,1976,49.3
5,1977,47.8
6,1978,44.3
7,1979,42.2
8,1980,39.1
9,1981,40.3
10,1982,40.0
11,1983,38.7
12,1984,38.8
13,1985,38.7
14,1986,37.1
15,1987,34.8
16,1988,30.9
17,1989,25.6
18,1990,23.0
19,1991,21.7
20,1992,22.8
21,1993,26.6
22,1994,31.1
23,1995,34.5
24,1996,36.0
25,1997,36.6
26,1998,36.6
27,1999,35.2
28,2000,32.5
29,2001,28.3
30,2002,28.1
31,2003,29.7
32,2004,30.9
33,2005,33.4
34,2006,34.3
35,2007,35.1
36,2008,35.6
37,2009,50.5
38,2010,64.5
39,2011,70.8
40,2012,74.2
41,2013,77.5
42,2014,79.2
43,2015,81.5
44,2016,81.1
45,2017,83.2
46,2018,82.1
47,2019,80.2
48,2020,84.8
49,2021,97.1
50,2022,97.3
51,2023,99.2
