,time,all,dw,car
0,2021-JAN-01,1.4,0.1,-2.4
1,2021-FEB-01,1.4,1.7,-5.5
2,2021-MAR-01,1.5,1.5,-7.6
3,2021-APR-01,2.9,2.3,-6.3
4,2021-MAY-01,3.3,1.9,-4.9
5,2021-JUN-01,3.9,2.8,-3.1
6,2021-JUL-01,3.8,3.0,-0.8
7,2021-AUG-01,4.8,2.9,2.2
8,2021-SEP-01,4.9,3.1,2.9
9,2021-OCT-01,6.0,2.6,2.2
10,2021-NOV-01,7.1,3.7,3.2
11,2021-DEC-01,7.5,13.0,4.5
12,2022-JAN-01,7.8,22.4,12.5
13,2022-FEB-01,8.2,23.3,13.1
14,2022-MAR-01,9.0,23.7,13.4
15,2022-APR-01,11.1,24.7,15.4
16,2022-MAY-01,11.7,26.0,16.4
17,2022-JUN-01,11.8,27.2,16.9
18,2022-JUL-01,12.3,28.4,21.3
19,2022-AUG-01,12.3,30.5,20.6
20,2022-SEP-01,12.6,32.7,23.2
21,2022-OCT-01,14.2,35.6,25.8
22,2022-NOV-01,14.0,35.1,32.6
23,2022-DEC-01,13.4,23.0,32.9
24,2023-JAN-01,13.4,13.9,29.9
25,2023-FEB-01,13.8,14.1,35.7
26,2023-MAR-01,13.5,15.2,38.7
27,2023-APR-01,11.4,17.2,41.8
28,2023-MAY-01,11.3,18.1,42.9
29,2023-JUN-01,10.7,17.0,48.9
30,2023-JUL-01,9.0,17.4,50.5
31,2023-AUG-01,9.1,17.5,50.0
32,2023-SEP-01,8.9,17.3,49.0
33,2023-OCT-01,6.1,16.3,48.8
34,2023-NOV-01,5.3,16.3,44.7
35,2023-DEC-01,5.2,17.1,42.7
36,2024-JAN-01,4.9,19.5,38.1
