,Year,Fuel,EJ
0,1965,Renewables,0.179852320956526
1,1966,Renewables,0.198060068952729
2,1967,Renewables,0.19986570742648
3,1968,Renewables,0.221200450961759
4,1969,Renewables,0.232579643765372
5,1970,Renewables,0.261045164294686
6,1971,Renewables,0.27149969509544
7,1972,Renewables,0.295551567610098
8,1973,Renewables,0.314496739119666
9,1974,Renewables,0.330025466486131
10,1975,Renewables,0.332608194524118
11,1976,Renewables,0.367614510660262
12,1977,Renewables,0.398360015918702
13,1978,Renewables,0.439948431472906
14,1979,Renewables,0.489589061250509
15,1980,Renewables,0.530826358222562
16,1981,Renewables,0.559731180476353
17,1982,Renewables,0.665478959638857
18,1983,Renewables,0.764138428254051
19,1984,Renewables,0.876358373768855
20,1985,Renewables,0.93090671968431
21,1986,Renewables,1.06227579649543
22,1987,Renewables,1.12673344589652
23,1988,Renewables,1.16805141741193
24,1989,Renewables,1.31231155374005
25,1990,Renewables,1.47798197652089
26,1991,Renewables,1.55491740193001
27,1992,Renewables,1.64910250927264
28,1993,Renewables,1.73228123966154
29,1994,Renewables,1.830852883084
30,1995,Renewables,1.92153970610615
31,1996,Renewables,1.95331327382931
32,1997,Renewables,2.10357042035151
33,1998,Renewables,2.22790650422708
34,1999,Renewables,2.36556007583279
35,2000,Renewables,2.5385423627691
36,2001,Renewables,2.63952472995198
37,2002,Renewables,3.01585240059355
38,2003,Renewables,3.28848096806248
39,2004,Renewables,3.76874258001044
40,2005,Renewables,4.26967623173342
41,2006,Renewables,4.90968409156416
42,2007,Renewables,5.83294728164787
43,2008,Renewables,7.00211834080023
44,2009,Renewables,8.04333634148119
45,2010,Renewables,9.49189718940987
46,2011,Renewables,10.9379607341633
47,2012,Renewables,12.4358233696476
48,2013,Renewables,14.1850543372974
49,2014,Renewables,15.8123728376585
50,2015,Renewables,17.8080438169397
51,2016,Renewables,19.7771635882037
52,2017,Renewables,22.7003097724799
53,2018,Renewables,25.4668869284366
54,2019,Renewables,28.3491651291207
55,2020,Renewables,31.2291491333831
56,1965,Hydro,8.08408867677983
57,1966,Hydro,8.54521699719838
58,1967,Hydro,8.77714379199575
59,1968,Hydro,9.1276569602978
60,1969,Hydro,9.58462976246543
61,1970,Hydro,9.96704795303753
62,1971,Hydro,10.4692261767758
63,1972,Hydro,11.0242527085255
64,1973,Hydro,11.2061022275906
65,1974,Hydro,12.3023053361613
66,1975,Hydro,12.5263987968485
67,1976,Hydro,12.3218433130707
68,1977,Hydro,12.6183584239798
69,1978,Hydro,13.5916579496678
70,1979,Hydro,14.2961420723726
71,1980,Hydro,14.5040286550168
72,1981,Hydro,14.8636902329854
73,1982,Hydro,15.3132891475354
74,1983,Hydro,16.0554914902699
75,1984,Hydro,16.4111380586643
76,1985,Hydro,18.4551930045852
77,1986,Hydro,18.5735604966635
78,1987,Hydro,18.7782285800901
79,1988,Hydro,19.2786331456968
80,1989,Hydro,19.1673818058099
81,1990,Hydro,19.8898038270729
82,1991,Hydro,20.3104103750008
83,1992,Hydro,20.3700139888431
84,1993,Hydro,21.6429931807519
85,1994,Hydro,21.7151807663323
86,1995,Hydro,22.9643769797401
87,1996,Hydro,23.1954019052554
88,1997,Hydro,23.665785666793
89,1998,Hydro,23.8102316525317
90,1999,Hydro,23.8848790971887
91,2000,Hydro,24.2942409962727
92,2001,Hydro,23.4993229736654
93,2002,Hydro,23.7263747968406
94,2003,Hydro,23.4611968637299
95,2004,Hydro,25.0998191477122
96,2005,Hydro,25.8101735402103
97,2006,Hydro,26.6983540989429
98,2007,Hydro,26.9750823164218
99,2008,Hydro,28.4877922348305
100,2009,Hydro,28.2301398868323
101,2010,Hydro,29.4834381053981
102,2011,Hydro,29.9120768338456
103,2012,Hydro,31.035366205867
104,2013,Hydro,32.00059840347
105,2014,Hydro,32.7599449359444
106,2015,Hydro,32.5682157561345
107,2016,Hydro,33.4282292451171
108,2017,Hydro,33.5827687652507
109,2018,Hydro,34.2272511533892
110,2019,Hydro,34.6075351540567
111,2020,Hydro,35.0756662303764
112,1965,Nuclear,0.236791568421053
113,1966,Nuclear,0.323574305263158
114,1967,Nuclear,0.3871412
115,1968,Nuclear,0.489618094736842
116,1969,Nuclear,0.580996647578947
117,1970,Nuclear,0.744411929263158
118,1971,Nuclear,1.04274928768421
119,1972,Nuclear,1.42268983842105
120,1973,Nuclear,1.89545562147368
121,1974,Nuclear,2.45113486957895
122,1975,Nuclear,3.41207575673684
123,1976,Nuclear,3.94500740778947
124,1977,Nuclear,4.87517001778947
125,1978,Nuclear,5.73331698631579
126,1979,Nuclear,5.91242188726316
127,1980,Nuclear,6.38000919221053
128,1981,Nuclear,7.53371065294737
129,1982,Nuclear,8.09390453494737
130,1983,Nuclear,9.18501313778947
131,1984,Nuclear,11.0635000107368
132,1985,Nuclear,14.7960071241053
133,1986,Nuclear,15.8796344828421
134,1987,Nuclear,17.2590710483158
135,1988,Nuclear,18.8230154047368
136,1989,Nuclear,19.3904537912632
137,1990,Nuclear,20.004620235579
138,1991,Nuclear,20.9617470458947
139,1992,Nuclear,21.1208914083202
140,1993,Nuclear,21.8482606132651
141,1994,Nuclear,22.2584432394833
142,1995,Nuclear,23.2209197808388
143,1996,Nuclear,24.0447705172995
144,1997,Nuclear,23.8866955760139
145,1998,Nuclear,24.2979143004145
146,1999,Nuclear,25.2228348440502
147,2000,Nuclear,25.7889408071518
148,2001,Nuclear,26.3456141879368
149,2002,Nuclear,26.591287023851
150,2003,Nuclear,25.8880946515599
151,2004,Nuclear,26.8910093441075
152,2005,Nuclear,26.7861540028426
153,2006,Nuclear,26.9503836818998
154,2007,Nuclear,26.2365029355122
155,2008,Nuclear,25.9933325993733
156,2009,Nuclear,25.4668478770682
157,2010,Nuclear,25.9632166273647
158,2011,Nuclear,24.7237602701337
159,2012,Nuclear,22.8894356439356
160,2013,Nuclear,22.9331663017061
161,2014,Nuclear,23.2607446967276
162,2015,Nuclear,23.430900161778
163,2016,Nuclear,23.6428003660341
164,2017,Nuclear,23.7115358249
165,2018,Nuclear,24.1086947397399
166,2019,Nuclear,24.9103799348438
167,2020,Nuclear,23.9626710935596
168,1965,Coal,44.710435587018
169,1966,Coal,44.8820600405633
170,1967,Coal,43.7438714108695
171,1968,Coal,44.6608954741407
172,1969,Coal,46.2292052615304
173,1970,Coal,47.1928488474045
174,1971,Coal,46.4682665377279
175,1972,Coal,46.7856393958068
176,1973,Coal,48.4254735973719
177,1974,Coal,48.3772105901333
178,1975,Coal,49.1529248608466
179,1976,Coal,51.4483525277976
180,1977,Coal,53.1383283826342
181,1978,Coal,53.904512669412
182,1979,Coal,56.9447778053433
183,1980,Coal,59.1154610035088
184,1981,Coal,60.1508755591273
185,1982,Coal,60.6972324587633
186,1983,Coal,62.8910087196943
187,1984,Coal,66.3616112715988
188,1985,Coal,83.7088138855019
189,1986,Coal,84.6409144639159
190,1987,Coal,88.1314604769927
191,1988,Coal,90.8555780338051
192,1989,Coal,91.8108426462607
193,1990,Coal,90.8293343476443
194,1991,Coal,90.1122552287804
195,1992,Coal,90.0431983334871
196,1993,Coal,90.6133211507185
197,1994,Coal,91.2104797828954
198,1995,Coal,91.9322742857472
199,1996,Coal,94.2584196082179
200,1997,Coal,94.0438862054996
201,1998,Coal,93.456882376967
202,1999,Coal,93.8947818704876
203,2000,Coal,97.1727144216998
204,2001,Coal,98.7097033908133
205,2002,Coal,102.627748023988
206,2003,Coal,111.69546659472
207,2004,Coal,119.503286883707
208,2005,Coal,128.494255383854
209,2006,Coal,135.296589358968
210,2007,Coal,143.210240326511
211,2008,Coal,145.078718172926
212,2009,Coal,143.023291087508
213,2010,Coal,149.648540969972
214,2011,Coal,156.899631741909
215,2012,Coal,157.548502402625
216,2013,Coal,160.483265896041
217,2014,Coal,160.923113273798
218,2015,Coal,157.04360489583
219,2016,Coal,154.871104784998
220,2017,Coal,155.633892103894
221,2018,Coal,157.435961465592
222,2019,Coal,155.099002659564
223,2020,Coal,148.9243231494
224,1965,Gas,18.2845493731718
225,1966,Gas,19.8035568430217
226,1967,Gas,21.1205108308847
227,1968,Gas,23.0908787498588
228,1969,Gas,25.5265674317495
229,1970,Gas,27.6936068447411
230,1971,Gas,29.4751249469842
231,1972,Gas,31.1077628911352
232,1973,Gas,32.1962700578554
233,1974,Gas,32.6332637316344
234,1975,Gas,31.8239181267639
235,1976,Gas,33.327935488469
236,1977,Gas,33.9786643239513
237,1978,Gas,35.1087626332528
238,1979,Gas,37.1886788822589
239,1980,Gas,37.2035501861107
240,1981,Gas,36.9447424049386
241,1982,Gas,35.9987474675466
242,1983,Gas,35.6761094676443
243,1984,Gas,38.4448023222208
244,1985,Gas,57.3516262569121
245,1986,Gas,57.826227215636
246,1987,Gas,60.8598627628783
247,1988,Gas,63.6187207081484
248,1989,Gas,66.2868338956336
249,1990,Gas,68.6709711534384
250,1991,Gas,70.5311188266678
251,1992,Gas,70.8132711554199
252,1993,Gas,71.6694760172012
253,1994,Gas,72.1600086876579
254,1995,Gas,74.6526158243504
255,1996,Gas,78.4061866074579
256,1997,Gas,77.8077740488243
257,1998,Gas,79.1673737381845
258,1999,Gas,81.5980334322051
259,2000,Gas,84.789595854107
260,2001,Gas,85.8216633755216
261,2002,Gas,88.3060299046543
262,2003,Gas,90.7148198289217
263,2004,Gas,94.124415923472
264,2005,Gas,96.7010550861017
265,2006,Gas,99.2487893960651
266,2007,Gas,103.176912516518
267,2008,Gas,105.727351127902
268,2009,Gas,103.59740471107
269,2010,Gas,111.231872599576
270,2011,Gas,113.91259558067
271,2012,Gas,116.883258598302
272,2013,Gas,118.754288268781
273,2014,Gas,119.372491464092
274,2015,Gas,121.833723882045
275,2016,Gas,124.673085091267
276,2017,Gas,128.064686097098
277,2018,Gas,134.646980071717
278,2019,Gas,136.905968467804
279,2020,Gas,133.930869677029
280,1965,Oil,55.4153064188227
281,1966,Oil,59.6775543756523
282,1967,Oil,63.8362711711671
283,1968,Oil,69.4972361609454
284,1969,Oil,75.4894891806795
285,1970,Oil,82.0374537624782
286,1971,Oil,86.4906005528558
