,index,Year,Fuel,Share
0,0,2010,Oil,0.3413850155694506
1,1,2010,Gas,0.22513256304964258
2,2,2010,Coal,0.2991953548454404
3,3,2010,Renewables,0.01905340674101805
4,4,2010,Nuclear,0.051420194162774185
5,5,2010,Hydro,0.06381346563167431
6,6,2011,Oil,0.3365079976124612
7,7,2011,Gas,0.2250299359716057
8,8,2011,Coal,0.30614541451228217
9,9,2011,Renewables,0.02140980662991398
10,10,2011,Nuclear,0.04780810912891591
11,11,2011,Hydro,0.06309873614482113
12,12,2012,Oil,0.3366986405078002
13,13,2012,Gas,0.22785964505192136
14,14,2012,Coal,0.303231803150868
15,15,2012,Renewables,0.024025610437049108
16,16,2012,Nuclear,0.04367218146303902
17,17,2012,Hydro,0.06451211938932236
18,18,2013,Oil,0.3341469220535986
19,19,2013,Gas,0.22736820704002875
20,20,2013,Coal,0.3031400268390245
21,21,2013,Renewables,0.02690472748727126
22,22,2013,Nuclear,0.042961154659396025
23,23,2013,Hydro,0.06547896192068083
24,24,2014,Oil,0.33296275259502806
25,25,2014,Gas,0.22685720553044586
26,26,2014,Coal,0.30117170031554796
27,27,2014,Renewables,0.029731281382398094
28,28,2014,Nuclear,0.04315275356267069
29,29,2014,Hydro,0.06612430661390935
30,30,2015,Oil,0.33729660554652174
31,31,2015,Gas,0.22999990334024928
32,32,2015,Coal,0.2913869623220957
33,33,2015,Renewables,0.03324142441861994
34,34,2015,Nuclear,0.04308535040248668
35,35,2015,Hydro,0.06498975397002682
36,36,2016,Oil,0.33868962599416524
37,37,2016,Gas,0.232193691996251
38,38,2016,Coal,0.2838392785764283
39,39,2016,Renewables,0.03644674630140891
40,40,2016,Nuclear,0.042890274752388
41,41,2016,Hydro,0.06594038237935856
42,42,2017,Oil,0.33730166446253446
43,43,2017,Gas,0.23411530406967188
44,44,2017,Coal,0.2801532204407691
45,45,2017,Renewables,0.041037617482986385
46,46,2017,Nuclear,0.04224648052142792
47,47,2017,Hydro,0.06514571302261049
48,48,2018,Oil,0.3320921057565331
49,49,2018,Gas,0.23981444271097901
50,50,2018,Coal,0.27643127223020125
51,51,2018,Renewables,0.044919522718089036
52,52,2018,Nuclear,0.04187818041844041
53,53,2018,Hydro,0.06486447616575729
54,54,2019,Oil,0.32998450763264736
