,team1,Elo start,Elo now,Win,Reach Final
4,brazil,1399.529111,1398.56337,NA,NA
27,spain,1353.778796,1348.200518,NA,NA
1,argentina,1338.26905,1339.756858,38.94,69.09
12,france,1330.123901,1336.922165,39.58,72.16
11,england,1304.311883,1313.309346,NA,NA
13,germany,1304.032423,1298.673739,NA,NA
19,netherlands,1298.103289,1306.198976,NA,NA
21,portugal,1290.221251,1294.857279,NA,NA
3,belgium,1288.124384,1284.600948,NA,NA
15,iran,1254.028133,1252.945524,NA,NA
8,croatia,1231.811028,1237.536042,11.85,30.91
26,south korea,1229.611408,1229.105813,NA,NA
17,mexico,1228.241905,1223.97769,NA,NA
30,uruguay,1227.315948,1223.282503,NA,NA
31,usa,1227.008833,1232.030288,NA,NA
9,denmark,1223.167417,1218.661946,NA,NA
16,japan,1220.005073,1226.588675,NA,NA
28,switzerland,1203.940454,1209.881552,NA,NA
18,morocco,1203.249319,1221.45765,9.63,27.84
2,australia,1193.693131,1200.320306,NA,NA
24,senegal,1189.670609,1194.789049,NA,NA
20,poland,1178.902193,1181.054783,NA,NA
25,serbia,1172.21122,1169.426757,NA,NA
29,tunisia,1148.922251,1145.5562,NA,NA
10,ecuador,1147.740241,1154.496047,NA,NA
23,saudi arabia,1130.87121,1134.133743,NA,NA
22,qatar,1129.138163,1120.285399,NA,NA
5,cameroon,1128.079224,1124.811092,NA,NA
7,costa rica,1124.016684,1128.370044,NA,NA
14,ghana,1123.150817,1126.907146,NA,NA
32,wales,1117.17415,1115.505406,NA,NA
6,canada,1115.813625,1109.747758,NA,NA
