prod,prodname,NPM,pricepercal,npacks
1,"Fresh fruit",-10,2.5693377,64
1,"Fresh fruit",-9,1.4216374,433
1,"Fresh fruit",-8,1.7283517,4590
1,"Fresh fruit",-7,1.1578461,34946
1,"Fresh fruit",-6,1.5753839,79273
1,"Fresh fruit",-5,.97985728,600194
1,"Fresh fruit",-4,.81792702,712460
1,"Fresh fruit",-3,1.0283614,151741
1,"Fresh fruit",-2,.63308365,322992
1,"Fresh fruit",-1,.21061659,25398
1,"Fresh fruit",0,.15842263,505731
1,"Fresh fruit",2,.13589908,2097
1,"Fresh fruit",3,.23760303,509
1,"Fresh fruit",11,.02165949,197
2,"Canned or dried fruit",-11,.41034315,143
2,"Canned or dried fruit",-10,.42904416,3808
2,"Canned or dried fruit",-9,3.1706404,1628
2,"Canned or dried fruit",-8,2.8887346,26170
2,"Canned or dried fruit",-7,4.016875,1269
2,"Canned or dried fruit",-6,3.4827198,45832
2,"Canned or dried fruit",-5,2.2063927,392219
2,"Canned or dried fruit",-4,1.2560901,96766
2,"Canned or dried fruit",-3,.82155545,60788
2,"Canned or dried fruit",-2,.50452363,49114
2,"Canned or dried fruit",-1,.52769733,8506
2,"Canned or dried fruit",0,.44297524,3545
2,"Canned or dried fruit",1,.49653197,17302
2,"Canned or dried fruit",2,.35962175,30969
2,"Canned or dried fruit",3,.33170375,10892
2,"Canned or dried fruit",4,.30944028,24783
2,"Canned or dried fruit",5,.2761314,20517
2,"Canned or dried fruit",6,.32889751,2704
2,"Canned or dried fruit",7,.36849106,4749
2,"Canned or dried fruit",8,.32995009,7014
2,"Canned or dried fruit",9,.36070327,2838
2,"Canned or dried fruit",10,.2811438,1565
2,"Canned or dried fruit",11,.33364973,144
2,"Canned or dried fruit",12,.20455557,83
2,"Canned or dried fruit",13,.16673693,579
2,"Canned or dried fruit",14,.17327358,3767
2,"Canned or dried fruit",15,.11389887,138
2,"Canned or dried fruit",16,.33012828,3122
2,"Canned or dried fruit",17,.15560039,673
2,"Canned or dried fruit",18,.24395391,340
2,"Canned or dried fruit",19,.34340731,194
2,"Canned or dried fruit",20,.20554058,1408
3,"Fresh vegetables",-14,.26209552,2910
3,"Fresh vegetables",-13,.68459545,18020
3,"Fresh vegetables",-12,.89943043,47747
3,"Fresh vegetables",-11,.73544086,48542
3,"Fresh vegetables",-10,1.3697687,88884
3,"Fresh vegetables",-9,1.3807599,401905
3,"Fresh vegetables",-8,1.6848247,514561
3,"Fresh vegetables",-7,1.5404183,972598
3,"Fresh vegetables",-6,1.5901704,2003854
3,"Fresh vegetables",-5,1.1597508,1049472
3,"Fresh vegetables",-4,.55903325,82903
3,"Fresh vegetables",-3,.66028171,19878
3,"Fresh vegetables",-2,.6065465,3572
3,"Fresh vegetables",-1,.69960403,2137
3,"Fresh vegetables",0,.79013577,4166
3,"Fresh vegetables",1,1.3831705,228
3,"Fresh vegetables",2,.45419054,1925
3,"Fresh vegetables",3,.49785487,862
3,"Fresh vegetables",4,.46179002,1452
3,"Fresh vegetables",5,.53792742,2465
3,"Fresh vegetables",6,.48256917,9099
3,"Fresh vegetables",7,.47730039,3395
3,"Fresh vegetables",8,.49343446,2428
3,"Fresh vegetables",9,.44211081,610
3,"Fresh vegetables",10,.42881095,1135
3,"Fresh vegetables",11,.33690868,42
4,"Canned or frozen vegetables",-14,.25817901,2116
4,"Canned or frozen vegetables",-13,.27414721,89332
4,"Canned or frozen vegetables",-12,.33244661,79838
4,"Canned or frozen vegetables",-11,.39562072,122976
4,"Canned or frozen vegetables",-10,.38933396,80174
4,"Canned or frozen vegetables",-9,.64840504,51805
4,"Canned or frozen vegetables",-8,.67544349,89972
4,"Canned or frozen vegetables",-7,.66879928,96243
4,"Canned or frozen vegetables",-6,.64020049,74996
4,"Canned or frozen vegetables",-5,.5699712,34532
4,"Canned or frozen vegetables",-4,.41855304,46244
4,"Canned or frozen vegetables",-3,.73187197,14047
4,"Canned or frozen vegetables",-2,.27232763,29427
4,"Canned or frozen vegetables",-1,.30063262,27467
4,"Canned or frozen vegetables",0,.21526637,39701
4,"Canned or frozen vegetables",1,.20811287,17285
4,"Canned or frozen vegetables",2,.19013034,20944
4,"Canned or frozen vegetables",3,.3527112,2772
4,"Canned or frozen vegetables",4,.74102684,1103
4,"Canned or frozen vegetables",5,.13800711,310
4,"Canned or frozen vegetables",6,.33935311,798
5,"Breads",-5,.11004875,12905
5,"Breads",-4,.11820884,98428
5,"Breads",-3,.10799249,188974
5,"Breads",-2,.11600332,229848
5,"Breads",-1,.12942953,172631
5,"Breads",0,.13612888,369938
5,"Breads",1,.23514296,101651
5,"Breads",2,.24695342,113906
5,"Breads",3,.31432252,102526
5,"Breads",4,.24279368,30832
5,"Breads",5,.19592796,82869
5,"Breads",6,.20055048,68937
5,"Breads",7,.16876697,41451
5,"Breads",8,.16316145,156282
5,"Breads",9,.17796714,151299
5,"Breads",10,.17354737,187262
5,"Breads",11,.224903,136200
5,"Breads",12,.17686545,46397
5,"Breads",13,.22452948,34057
5,"Breads",14,.17644042,34947
5,"Breads",15,.15156597,18294
5,"Breads",16,.20046056,16039
5,"Breads",17,.20255529,8223
5,"Breads",18,.11772267,10573
5,"Breads",19,.12461091,3114
5,"Breads",20,.17836981,13461
5,"Breads",21,.22574957,143
5,"Breads",22,.20841297,3877
5,"Breads",25,.07887815,1415
