areaType,areaName,areaCode,date,newVirusTests,cumVirusTests
overview,United Kingdom,K02000001,2021-04-22,1111876,145213900
overview,United Kingdom,K02000001,2021-04-21,1371393,143949153
overview,United Kingdom,K02000001,2021-04-20,730210,142527783
overview,United Kingdom,K02000001,2021-04-19,1041368,141704576
overview,United Kingdom,K02000001,2021-04-18,1673788,140486853
overview,United Kingdom,K02000001,2021-04-17,492826,138771896
overview,United Kingdom,K02000001,2021-04-16,681887,138241531
overview,United Kingdom,K02000001,2021-04-15,988311,137478788
overview,United Kingdom,K02000001,2021-04-14,1162840,136363617
overview,United Kingdom,K02000001,2021-04-13,679109,135152009
overview,United Kingdom,K02000001,2021-04-12,874399,134397573
overview,United Kingdom,K02000001,2021-04-11,1218037,133375844
overview,United Kingdom,K02000001,2021-04-10,482153,132121175
overview,United Kingdom,K02000001,2021-04-09,676307,131601153
overview,United Kingdom,K02000001,2021-04-08,931579,130849530
overview,United Kingdom,K02000001,2021-04-07,1034088,129798698
overview,United Kingdom,K02000001,2021-04-06,631846,128712320
overview,United Kingdom,K02000001,2021-04-05,741323,128000297
overview,United Kingdom,K02000001,2021-04-04,813693,127128065
overview,United Kingdom,K02000001,2021-04-03,405634,126284831
overview,United Kingdom,K02000001,2021-04-02,555613,125844450
overview,United Kingdom,K02000001,2021-04-01,953206,125225481
overview,United Kingdom,K02000001,2021-03-31,1266685,124147198
overview,United Kingdom,K02000001,2021-03-30,695477,122824208
overview,United Kingdom,K02000001,2021-03-29,972317,122092382
overview,United Kingdom,K02000001,2021-03-28,1641942,121071863
overview,United Kingdom,K02000001,2021-03-27,471328,119404185
overview,United Kingdom,K02000001,2021-03-26,722814,118903237
overview,United Kingdom,K02000001,2021-03-25,1275285,118144044
overview,United Kingdom,K02000001,2021-03-24,1813842,116704955
overview,United Kingdom,K02000001,2021-03-23,839954,114841325
overview,United Kingdom,K02000001,2021-03-22,1191048,113930657
overview,United Kingdom,K02000001,2021-03-21,1893830,112602641
overview,United Kingdom,K02000001,2021-03-20,473050,110684841
overview,United Kingdom,K02000001,2021-03-19,933234,110180128
overview,United Kingdom,K02000001,2021-03-18,1437257,109160007
overview,United Kingdom,K02000001,2021-03-17,1635141,107584947
overview,United Kingdom,K02000001,2021-03-16,1319784,105849755
overview,United Kingdom,K02000001,2021-03-15,1573774,104422879
overview,United Kingdom,K02000001,2021-03-14,965127,102739526
overview,United Kingdom,K02000001,2021-03-13,437958,101747711
overview,United Kingdom,K02000001,2021-03-12,1402203,101275568
overview,United Kingdom,K02000001,2021-03-11,1614145,99753919
overview,United Kingdom,K02000001,2021-03-10,1554080,98018418
overview,United Kingdom,K02000001,2021-03-09,1374579,96352115
overview,United Kingdom,K02000001,2021-03-08,1529525,94863125
overview,United Kingdom,K02000001,2021-03-07,805744,93252192
overview,United Kingdom,K02000001,2021-03-06,452750,92427640
overview,United Kingdom,K02000001,2021-03-05,953671,91944455
overview,United Kingdom,K02000001,2021-03-04,992812,90933060
overview,United Kingdom,K02000001,2021-03-03,863658,89887019
overview,United Kingdom,K02000001,2021-03-02,675543,88994478
overview,United Kingdom,K02000001,2021-03-01,727972,88264597
overview,United Kingdom,K02000001,2021-02-28,526679,87496888
overview,United Kingdom,K02000001,2021-02-27,383946,86950527
overview,United Kingdom,K02000001,2021-02-26,604745,86554704
overview,United Kingdom,K02000001,2021-02-25,731410,85925041
overview,United Kingdom,K02000001,2021-02-24,740717,85153541
overview,United Kingdom,K02000001,2021-02-23,594629,84392344
overview,United Kingdom,K02000001,2021-02-22,670560,83769892
overview,United Kingdom,K02000001,2021-02-21,590591,83063780
overview,United Kingdom,K02000001,2021-02-20,408118,82463979
overview,United Kingdom,K02000001,2021-02-19,521230,82046229
overview,United Kingdom,K02000001,2021-02-18,560400,81507154
overview,United Kingdom,K02000001,2021-02-17,578844,80926591
overview,United Kingdom,K02000001,2021-02-16,488578,80331919
overview,United Kingdom,K02000001,2021-02-15,457144,79818755
overview,United Kingdom,K02000001,2021-02-14,401786,79338077
overview,United Kingdom,K02000001,2021-02-13,403600,78928253
overview,United Kingdom,K02000001,2021-02-12,626243,78511498
overview,United Kingdom,K02000001,2021-02-11,730223,77862609
overview,United Kingdom,K02000001,2021-02-10,763311,77090265
overview,United Kingdom,K02000001,2021-02-09,579266,76297866
overview,United Kingdom,K02000001,2021-02-08,616718,75693515
