,year,glaciers
0,1956,-0.0
1,1957,0.12
2,1958,0.976
3,1959,1.414
4,1960,1.968
5,1961,2.362
6,1962,2.569
7,1963,2.885
8,1964,2.545
9,1965,2.373
10,1966,2.578
11,1967,2.662
12,1968,2.776
13,1969,3.277
14,1970,3.519
15,1971,3.758
16,1972,4.016
17,1973,4.147
18,1974,4.339
19,1975,4.534
20,1976,4.752
21,1977,5.14
22,1978,5.372
23,1979,5.785
24,1980,5.919
25,1981,6.11
26,1982,6.568
27,1983,6.438
28,1984,6.726
29,1985,7.009
30,1986,7.586
31,1987,7.475
32,1988,7.559
33,1989,7.892
34,1990,8.399
35,1991,8.832
36,1992,8.935
37,1993,9.242
38,1994,9.917
39,1995,10.384
40,1996,10.819
41,1997,11.611
42,1998,12.134
43,1999,12.861
44,2000,13.088
45,2001,13.317
46,2002,13.755
47,2003,14.326
48,2004,15.018
49,2005,15.758
50,2006,16.591
51,2007,17.202
52,2008,17.619
53,2009,18.169
54,2010,19.011
55,2011,19.92
56,2012,20.657
57,2013,21.502
58,2014,22.285
59,2015,23.402
60,2016,24.383
61,2017,25.152
62,2018,26.043
63,2019,27.174
