,Type,Time,Value,Value2,year
0,Human,1561-1570,4373,19167.0,1566
1,Draught Animal,1561-1570,6210,16927.0,1566
2,Firewood,1561-1570,6324,20253.0,1566
3,Wind,1561-1570,59,29602.0,1566
4,Water,1561-1570,162,35089.0,1566
5,Coal,1561-1570,2039,52347.0,1566
6,Human,1600-1609,4161,96463.0,1605
7,Draught Animal,1600-1609,4647,,1605
8,Firewood,1600-1609,4729,,1605
9,Wind,1600-1609,85,,1605
10,Water,1600-1609,152,,1605
11,Coal,1600-1609,3153,,1605
12,Human,1650-1659,4521,,1655
13,Draught Animal,1650-1659,4802,,1655
14,Firewood,1650-1659,3849,,1655
15,Wind,1650-1659,153,,1655
16,Water,1650-1659,156,,1655
17,Coal,1650-1659,6772,,1655
18,Human,1700-1709,4789,,1705
19,Draught Animal,1700-1709,5744,,1705
20,Firewood,1700-1709,3939,,1705
21,Wind,1700-1709,238,,1705
22,Water,1700-1709,173,,1705
23,Coal,1700-1709,14719,,1705
24,Human,1750-1759,4519,,1755
25,Draught Animal,1750-1759,5113,,1755
26,Firewood,1750-1759,3429,,1755
27,Wind,1750-1759,427,,1755
28,Water,1750-1759,198,,1755
29,Coal,1750-1759,21403,,1755
30,Human,1800-1809,4233,,1805
31,Draught Animal,1800-1809,3471,,1805
32,Firewood,1800-1809,1877,,1805
33,Wind,1800-1809,1282,,1805
34,Water,1800-1809,111,,1805
35,Coal,1800-1809,41373,,1805
36,Human,1850-1859,3564,,1855
37,Draught Animal,1850-1859,2633,,1855
38,Firewood,1850-1859,118,,1855
39,Wind,1850-1859,1280,,1855
40,Water,1850-1859,89,,1855
41,Coal,1850-1859,88779,,1855
