,Time,Value,year
0,1800,77,1805
1,1801,78,1806
2,1802,78,1807
3,1803,79,1808
4,1804,79,1809
5,1805,80,1810
6,1806,80,1811
7,1807,81,1812
8,1808,81,1813
9,1809,81,1814
10,1810,82,1815
11,1811,82,1816
12,1812,82,1817
13,1813,83,1818
14,1814,83,1819
15,1815,83,1820
16,1816,83,1821
17,1817,83,1822
18,1818,84,1823
19,1819,84,1824
20,1820,84,1825
21,1821,85,1826
22,1822,85,1827
23,1823,85,1828
24,1824,85,1829
25,1825,85,1830
26,1826,85,1831
27,1827,86,1832
28,1828,86,1833
29,1829,86,1834
30,1830,87,1835
31,1831,87,1836
32,1832,87,1837
33,1833,87,1838
34,1834,88,1839
35,1835,88,1840
36,1836,88,1841
37,1837,88,1842
38,1838,89,1843
39,1839,89,1844
40,1840,89,1845
41,1841,89,1846
42,1842,89,1847
43,1843,90,1848
44,1844,90,1849
45,1845,90,1850
46,1846,91,1851
47,1847,91,1852
48,1848,91,1853
49,1849,92,1854
50,1850,92,1855
51,1851,92,1856
52,1852,92,1857
53,1853,92,1858
54,1854,92,1859
55,1855,92,1860
56,1856,93,1861
57,1857,93,1862
58,1858,93,1863
59,1859,93,1864
60,1860,93,1865
61,1861,93,1866
62,1862,93,1867
63,1863,93,1868
64,1864,94,1869
65,1865,94,1870
66,1866,94,1871
67,1867,94,1872
68,1868,94,1873
69,1869,94,1874
70,1870,94,1875
71,1871,94,1876
72,1872,95,1877
73,1873,95,1878
74,1874,95,1879
75,1875,95,1880
76,1876,95,1881
77,1877,94,1882
78,1878,94,1883
79,1879,95,1884
80,1880,95,1885
81,1881,95,1886
82,1882,95,1887
83,1883,95,1888
84,1884,95,1889
85,1885,95,1890
86,1886,95,1891
87,1887,95,1892
88,1888,95,1893
89,1889,95,1894
90,1890,95,1895
91,1891,95,1896
92,1892,94,1897
93,1893,95,1898
94,1894,95,1899
95,1895,95,1900
96,1896,95,1901
97,1897,95,1902
98,1898,95,1903
99,1899,96,1904
100,1900,95,1905
101,1901,95,1906
102,1902,95,1907
103,1903,95,1908
104,1904,95,1909
105,1905,96,1910
106,1906,96,1911
107,1907,95,1912
108,1908,95,1913
109,1909,95,1914
110,1910,96,1915
111,1911,95,1916
112,1912,96,1917
113,1913,95,1918
114,1914,95,1919
115,1915,95,1920
116,1916,96,1921
117,1917,95,1922
118,1918,94,1923
119,1919,95,1924
120,1920,95,1925
121,1921,92,1926
122,1922,94,1927
123,1923,94,1928
124,1924,94,1929
125,1925,94,1930
126,1926,90,1931
127,1927,93,1932
128,1928,93,1933
129,1929,92,1934
130,1930,92,1935
131,1931,91,1936
132,1932,91,1937
133,1933,91,1938
134,1934,91,1939
135,1935,91,1940
136,1936,91,1941
137,1937,91,1942
138,1938,92,1943
139,1939,93,1944
140,1940,93,1945
141,1941,93,1946
142,1942,93,1947
143,1943,92,1948
144,1944,90,1949
145,1945,91,1950
146,1946,91,1951
147,1947,90,1952
148,1948,90,1953
149,1949,90,1954
150,1950,89,1955
151,1951,89,1956
152,1952,88,1957
153,1953,88,1958
154,1954,87,1959
155,1955,86,1960
156,1956,85,1961
157,1957,85,1962
158,1958,82,1963
159,1959,78,1964
160,1960,77,1965
161,1961,75,1966
162,1962,73,1967
163,1963,72,1968
164,1964,69,1969
165,1965,67,1970
166,1966,64,1971
167,1967,60,1972
168,1968,59,1973
169,1969,56,1974
170,1970,50,1975
171,1971,46,1976
172,1972,40,1977
173,1973,41,1978
174,1974,38,1979
175,1975,41,1980
176,1976,41,1981
177,1977,40,1982
178,1978,39,1983
179,1979,40,1984
180,1980,41,1985
181,1981,41,1986
182,1982,39,1987
183,1983,39,1988
184,1984,28,1989
185,1985,36,1990
186,1986,37,1991
187,1987,38,1992
188,1988,36,1993
189,1989,36,1994
190,1990,35,1995
191,1991,34,1996
192,1992,33,1997
193,1993,28,1998
194,1994,27,1999
195,1995,25,2000
196,1996,22,2001
197,1997,20,2002
198,1998,20,2003
199,1999,18,2004
200,2000,19,2005
201,2001,20,2006
202,2002,18,2007
203,2003,19,2008
204,2004,19,2009
205,2005,19,2010
206,2006,21,2011
