,Year,Country,Value 1,Value 2
0,1990,Brazil,70.45802056,0.0
1,1991,Brazil,70.00565437,-0.6
2,1992,Brazil,69.55328817,-1.3
3,1993,Brazil,69.10092198,-1.9
4,1994,Brazil,68.64855578,-2.6
5,1995,Brazil,68.19618958,-3.2
6,1996,Brazil,67.74382339,-3.9
7,1997,Brazil,67.29145719,-4.5
8,1998,Brazil,66.83909099,-5.1
9,1999,Brazil,66.3867248,-5.8
10,2000,Brazil,65.9343586,-6.4
11,2001,Brazil,65.4616709,-7.1
12,2002,Brazil,64.98898319,-7.8
13,2003,Brazil,64.51629549,-8.4
14,2004,Brazil,64.04360779,-9.1
15,2005,Brazil,63.57092009,-9.8
16,2006,Brazil,63.09823238,-10.5
17,2007,Brazil,62.62554468,-11.1
18,2008,Brazil,62.15285698,-11.8
19,2009,Brazil,61.68016927,-12.5
20,2010,Brazil,61.20748157,-13.1
21,2011,Brazil,61.02332816,-13.4
22,2012,Brazil,60.83917474,-13.7
23,2013,Brazil,60.65502133,-13.9
24,2014,Brazil,60.47086792,-14.2
25,2015,Brazil,60.28671451,-14.4
26,2016,Brazil,60.07103255,-14.7
27,2017,Brazil,59.83288148,-15.1
28,2018,Brazil,59.70842795,-15.3
29,1990,Indonesia,65.43771425,0.0
30,1991,Indonesia,64.48467352,-1.5
31,1992,Indonesia,63.53163278,-2.9
32,1993,Indonesia,62.57859205,-4.4
33,1994,Indonesia,61.62555132,-5.8
34,1995,Indonesia,60.67251058,-7.3
35,1996,Indonesia,59.71946985,-8.7
36,1997,Indonesia,58.76642912,-10.2
37,1998,Indonesia,57.81338839,-11.7
38,1999,Indonesia,56.86034765,-13.1
39,2000,Indonesia,55.90730692,-14.6
40,2001,Indonesia,55.81783757,-14.7
41,2002,Indonesia,55.72836821,-14.8
42,2003,Indonesia,55.63889886,-15.0
43,2004,Indonesia,55.5494295,-15.1
44,2005,Indonesia,55.45996015,-15.3
45,2006,Indonesia,55.37049079,-15.4
46,2007,Indonesia,55.28102143,-15.5
47,2008,Indonesia,55.19155208,-15.7
48,2009,Indonesia,55.10208272,-15.8
49,2010,Indonesia,55.01261337,-15.9
