,Year,Scenario,Value
0,1950,Plastic waste growth up to 2050,0
1,1951,Plastic waste growth up to 2050,0
2,1952,Plastic waste growth up to 2050,0
3,1953,Plastic waste growth up to 2050,0
4,1954,Plastic waste growth up to 2050,100
5,1955,Plastic waste growth up to 2050,100
6,1956,Plastic waste growth up to 2050,200
7,1957,Plastic waste growth up to 2050,200
8,1958,Plastic waste growth up to 2050,300
9,1959,Plastic waste growth up to 2050,400
10,1960,Plastic waste growth up to 2050,600
11,1961,Plastic waste growth up to 2050,700
12,1962,Plastic waste growth up to 2050,900
13,1963,Plastic waste growth up to 2050,1200
14,1964,Plastic waste growth up to 2050,1500
15,1965,Plastic waste growth up to 2050,1800
16,1966,Plastic waste growth up to 2050,2200
17,1967,Plastic waste growth up to 2050,2700
18,1968,Plastic waste growth up to 2050,3300
19,1969,Plastic waste growth up to 2050,3900
20,1970,Plastic waste growth up to 2050,4700
21,1971,Plastic waste growth up to 2050,5600
22,1972,Plastic waste growth up to 2050,6600
23,1973,Plastic waste growth up to 2050,7900
24,1974,Plastic waste growth up to 2050,9300
25,1975,Plastic waste growth up to 2050,10800
26,1976,Plastic waste growth up to 2050,12600
27,1977,Plastic waste growth up to 2050,14600
28,1978,Plastic waste growth up to 2050,16800
29,1979,Plastic waste growth up to 2050,19300
30,1980,Plastic waste growth up to 2050,22000
31,1981,Plastic waste growth up to 2050,25000
32,1982,Plastic waste growth up to 2050,28200
33,1983,Plastic waste growth up to 2050,31700
34,1984,Plastic waste growth up to 2050,35600
35,1985,Plastic waste growth up to 2050,39700
36,1986,Plastic waste growth up to 2050,44200
37,1987,Plastic waste growth up to 2050,49100
38,1988,Plastic waste growth up to 2050,54300
39,1989,Plastic waste growth up to 2050,59900
40,1990,Plastic waste growth up to 2050,65900
41,1991,Plastic waste growth up to 2050,72400
42,1992,Plastic waste growth up to 2050,79300
43,1993,Plastic waste growth up to 2050,86800
44,1994,Plastic waste growth up to 2050,94700
45,1995,Plastic waste growth up to 2050,103100
46,1996,Plastic waste growth up to 2050,112100
47,1997,Plastic waste growth up to 2050,121700
48,1998,Plastic waste growth up to 2050,132000
49,1999,Plastic waste growth up to 2050,142900
50,2000,Plastic waste growth up to 2050,154500
51,2001,Plastic waste growth up to 2050,166900
52,2002,Plastic waste growth up to 2050,180100
53,2003,Plastic waste growth up to 2050,194100
54,2004,Plastic waste growth up to 2050,209000
55,2005,Plastic waste growth up to 2050,224700
56,2006,Plastic waste growth up to 2050,241400
57,2007,Plastic waste growth up to 2050,259200
58,2008,Plastic waste growth up to 2050,277900
59,2009,Plastic waste growth up to 2050,297700
60,2010,Plastic waste growth up to 2050,318500
61,2011,Plastic waste growth up to 2050,340400
62,2012,Plastic waste growth up to 2050,363400
63,2013,Plastic waste growth up to 2050,387600
64,2014,Plastic waste growth up to 2050,413100
65,2015,Plastic waste growth up to 2050,439800
66,2016,Plastic waste growth up to 2050,467800
67,2017,Plastic waste growth up to 2050,497200
68,2018,Plastic waste growth up to 2050,528000
69,2019,Plastic waste growth up to 2050,560200
70,2020,Plastic waste growth up to 2050,594000
71,2021,Plastic waste growth up to 2050,629300
72,2022,Plastic waste growth up to 2050,666300
73,2023,Plastic waste growth up to 2050,704900
74,2024,Plastic waste growth up to 2050,745200
75,2025,Plastic waste growth up to 2050,787300
76,2026,Plastic waste growth up to 2050,831300
77,2027,Plastic waste growth up to 2050,877200
78,2028,Plastic waste growth up to 2050,925000
79,2029,Plastic waste growth up to 2050,974900
80,2030,Plastic waste growth up to 2050,1027000
81,2031,Plastic waste growth up to 2050,1081200
82,2032,Plastic waste growth up to 2050,1137700
83,2033,Plastic waste growth up to 2050,1196600
84,2034,Plastic waste growth up to 2050,1257900
85,2035,Plastic waste growth up to 2050,1321700
86,2036,Plastic waste growth up to 2050,1388200
87,2037,Plastic waste growth up to 2050,1457300
88,2038,Plastic waste growth up to 2050,1529300
89,2039,Plastic waste growth up to 2050,1604200
90,2040,Plastic waste growth up to 2050,1682100
91,2041,Plastic waste growth up to 2050,1763100
92,2042,Plastic waste growth up to 2050,1847300
93,2043,Plastic waste growth up to 2050,1934900
94,2044,Plastic waste growth up to 2050,2026000
95,2045,Plastic waste growth up to 2050,2120700
96,2046,Plastic waste growth up to 2050,2219100
97,2047,Plastic waste growth up to 2050,2321300
98,2048,Plastic waste growth up to 2050,2427600
99,2049,Plastic waste growth up to 2050,2538000
100,2050,Plastic waste growth up to 2050,2652700
101,1950,Plastic waste at 2020 level,0
102,1951,Plastic waste at 2020 level,0
103,1952,Plastic waste at 2020 level,0
104,1953,Plastic waste at 2020 level,0
105,1954,Plastic waste at 2020 level,100
106,1955,Plastic waste at 2020 level,100
107,1956,Plastic waste at 2020 level,200
108,1957,Plastic waste at 2020 level,200
109,1958,Plastic waste at 2020 level,300
110,1959,Plastic waste at 2020 level,400
111,1960,Plastic waste at 2020 level,600
112,1961,Plastic waste at 2020 level,700
113,1962,Plastic waste at 2020 level,900
114,1963,Plastic waste at 2020 level,1200
115,1964,Plastic waste at 2020 level,1500
116,1965,Plastic waste at 2020 level,1800
117,1966,Plastic waste at 2020 level,2200
118,1967,Plastic waste at 2020 level,2700
119,1968,Plastic waste at 2020 level,3300
120,1969,Plastic waste at 2020 level,3900
121,1970,Plastic waste at 2020 level,4700
122,1971,Plastic waste at 2020 level,5600
123,1972,Plastic waste at 2020 level,6600
124,1973,Plastic waste at 2020 level,7900
125,1974,Plastic waste at 2020 level,9300
126,1975,Plastic waste at 2020 level,10800
127,1976,Plastic waste at 2020 level,12600
128,1977,Plastic waste at 2020 level,14600
129,1978,Plastic waste at 2020 level,16800
130,1979,Plastic waste at 2020 level,19300
131,1980,Plastic waste at 2020 level,22000
132,1981,Plastic waste at 2020 level,25000
133,1982,Plastic waste at 2020 level,28200
134,1983,Plastic waste at 2020 level,31700
135,1984,Plastic waste at 2020 level,35600
136,1985,Plastic waste at 2020 level,39700
137,1986,Plastic waste at 2020 level,44200
138,1987,Plastic waste at 2020 level,49100
139,1988,Plastic waste at 2020 level,54300
140,1989,Plastic waste at 2020 level,59900
