,River,Value
0,"Amazon (Brazil, Peru, Colombia, Ecuador)",38900
1,Brantas (Indonesia),38900
2,"Cross (Nigeria, Cameroon)",40300
3,Dong (China),19100
4,"Ganges (India, Bangladesh)",115000
5,Hanjiang (China),12900
6,Huangpu (China),40800
7,Imo (Nigeria),21500
8,Irrawaddy (Myanmar),35300
9,Kwa Ibo (Nigeria),11900
10,Magdalena (Colombia),16700
11,"Mekong (Thailand, Cambodia, Laos, China, Myanmar, Vietnam)",22800
12,Pasig (Philippines),38800
13,Progo (Indonesia),12800
14,Serayu (Indonesia),17100
15,Solo (Indonesia),32500
16,Tamsui (Taiwan),14700
17,Xi (China),73900
18,Yangtze (China),333000
19,Zhujiang (China),13600
