,Year,Country,Value
0,1960,Central Afican Republic,599.7006184
1,1961,Central Afican Republic,619.3481094
2,1962,Central Afican Republic,586.4130765
3,1963,Central Afican Republic,572.1408334
4,1964,Central Afican Republic,573.4259224
5,1965,Central Afican Republic,567.8846981
6,1966,Central Afican Republic,560.1657485
7,1967,Central Afican Republic,574.2505494
8,1968,Central Afican Republic,570.3308618
9,1969,Central Afican Republic,598.8714647
10,1970,Central Afican Republic,601.9174485
11,1971,Central Afican Republic,599.010003
12,1972,Central Afican Republic,590.259555
13,1973,Central Afican Republic,592.8193211
14,1974,Central Afican Republic,620.7228119
15,1975,Central Afican Republic,612.4224427
16,1976,Central Afican Republic,633.1957636
17,1977,Central Afican Republic,643.4745032
18,1978,Central Afican Republic,636.3604197
19,1979,Central Afican Republic,605.2733989
20,1980,Central Afican Republic,562.7656721
21,1981,Central Afican Republic,538.1493833
22,1982,Central Afican Republic,562.0737065
23,1983,Central Afican Republic,500.747565
24,1984,Central Afican Republic,532.7295544
25,1985,Central Afican Republic,539.7588305
26,1986,Central Afican Republic,547.1065551
27,1987,Central Afican Republic,510.4429154
28,1988,Central Afican Republic,510.0880784
29,1989,Central Afican Republic,510.3678832
30,1990,Central Afican Republic,488.5528757
31,1991,Central Afican Republic,473.740103
32,1992,Central Afican Republic,431.2131063
33,1993,Central Afican Republic,420.3143351
34,1994,Central Afican Republic,428.4109679
35,1995,Central Afican Republic,446.7665946
36,1996,Central Afican Republic,417.8014197
37,1997,Central Afican Republic,429.0256121
38,1998,Central Afican Republic,438.456209
39,1999,Central Afican Republic,443.7036796
40,2000,Central Afican Republic,422.8646357
41,2001,Central Afican Republic,432.060402
42,2002,Central Afican Republic,438.2530515
43,2003,Central Afican Republic,406.1534376
44,2004,Central Afican Republic,421.9461496
45,2005,Central Afican Republic,417.5021388
46,2006,Central Afican Republic,428.9563274
47,2007,Central Afican Republic,440.1771052
48,2008,Central Afican Republic,441.2966121
49,2009,Central Afican Republic,472.093434
50,2010,Central Afican Republic,488.4217731
51,2011,Central Afican Republic,505.2381543
52,2012,Central Afican Republic,528.6454444
53,2013,Central Afican Republic,335.3889546
54,2014,Central Afican Republic,334.4408238
55,2015,Central Afican Republic,346.6937467
56,2016,Central Afican Republic,359.6003847
57,2017,Central Afican Republic,371.1092243
58,2018,Central Afican Republic,379.3652001
59,2019,Central Afican Republic,384.2569678
60,2020,Central Afican Republic,377.5273687
61,1960,Democratic Republic of Congo,1038.932091
62,1961,Democratic Republic of Congo,903.1275744
63,1962,Democratic Republic of Congo,1067.064317
64,1963,Democratic Republic of Congo,1094.01312
65,1964,Democratic Republic of Congo,1039.408514
66,1965,Democratic Republic of Congo,1021.608486
67,1966,Democratic Republic of Congo,1060.77082
68,1967,Democratic Republic of Congo,1020.793198
69,1968,Democratic Republic of Congo,1034.881479
70,1969,Democratic Republic of Congo,1099.681862
71,1970,Democratic Republic of Congo,1066.769903
72,1971,Democratic Republic of Congo,1100.418245
73,1972,Democratic Republic of Congo,1073.002381
74,1973,Democratic Republic of Congo,1129.872576
75,1974,Democratic Republic of Congo,1134.302344
76,1975,Democratic Republic of Congo,1048.55096
77,1976,Democratic Republic of Congo,965.201059
78,1977,Democratic Republic of Congo,944.9247205
79,1978,Democratic Republic of Congo,869.068141
80,1979,Democratic Republic of Congo,848.7540151
81,1980,Democratic Republic of Congo,844.5031982
82,1981,Democratic Republic of Congo,842.5714958
83,1982,Democratic Republic of Congo,818.2305496
84,1983,Democratic Republic of Congo,809.7244424
85,1984,Democratic Republic of Congo,833.5847229
86,1985,Democratic Republic of Congo,816.1403499
87,1986,Democratic Republic of Congo,832.2830156
88,1987,Democratic Republic of Congo,831.6538502
89,1988,Democratic Republic of Congo,811.9985308
90,1989,Democratic Republic of Congo,777.2584433
91,1990,Democratic Republic of Congo,702.1347564
92,1991,Democratic Republic of Congo,619.7963134
93,1992,Democratic Republic of Congo,533.5345449
94,1993,Democratic Republic of Congo,444.0466906
95,1994,Democratic Republic of Congo,411.4935298
96,1995,Democratic Republic of Congo,401.1855093
97,1996,Democratic Republic of Congo,386.1129018
98,1997,Democratic Republic of Congo,355.5280686
99,1998,Democratic Republic of Congo,341.7778178
100,1999,Democratic Republic of Congo,319.5620451
101,2000,Democratic Republic of Congo,289.9862953
102,2001,Democratic Republic of Congo,276.1421716
103,2002,Democratic Republic of Congo,276.0559234
104,2003,Democratic Republic of Congo,282.6470503
105,2004,Democratic Republic of Congo,292.3508977
106,2005,Democratic Republic of Congo,300.5624718
107,2006,Democratic Republic of Congo,306.528212
108,2007,Democratic Republic of Congo,315.2638419
109,2008,Democratic Republic of Congo,324.0403128
110,2009,Democratic Republic of Congo,322.4182648
111,2010,Democratic Republic of Congo,334.0215777
112,2011,Democratic Republic of Congo,345.2661252
113,2012,Democratic Republic of Congo,357.5982855
114,2013,Democratic Republic of Congo,375.2191913
115,2014,Democratic Republic of Congo,397.3416812
116,2015,Democratic Republic of Congo,411.0206378
117,2016,Democratic Republic of Congo,407.2896276
118,2017,Democratic Republic of Congo,408.9247884
119,2018,Democratic Republic of Congo,418.9888065
120,2019,Democratic Republic of Congo,423.6402507
121,2020,Democratic Republic of Congo,413.7090403
122,1960,Kenya,537.4608807
123,1961,Kenya,480.4334263
124,1962,Kenya,509.4916401
125,1963,Kenya,536.7425934
126,1964,Kenya,545.4182309
127,1965,Kenya,538.4258695
128,1966,Kenya,597.5820226
129,1967,Kenya,597.294373
130,1968,Kenya,623.408575
131,1969,Kenya,650.1561723
132,1970,Kenya,598.4574262
133,1971,Kenya,705.4623429
134,1972,Kenya,796.5254022
135,1973,Kenya,813.0537583
136,1974,Kenya,815.2769469
137,1975,Kenya,792.265241
138,1976,Kenya,779.4541161
139,1977,Kenya,821.5181668
140,1978,Kenya,845.5832709
141,1979,Kenya,875.8537567
142,1980,Kenya,889.93679
143,1981,Kenya,888.5204848
144,1982,Kenya,867.7109466
145,1983,Kenya,845.9022421
146,1984,Kenya,828.622023
147,1985,Kenya,832.4876002
148,1986,Kenya,859.9864065
149,1987,Kenya,878.6819259
150,1988,Kenya,900.686873
151,1989,Kenya,910.8063405
152,1990,Kenya,917.4082053
153,1991,Kenya,900.352102
154,1992,Kenya,864.7869332
155,1993,Kenya,840.941102
156,1994,Kenya,837.0038643
157,1995,Kenya,848.1477829
158,1996,Kenya,857.9480261
159,1997,Kenya,837.8106272
160,1998,Kenya,841.4944442
161,1999,Kenya,837.411716
162,2000,Kenya,819.6154251
163,2001,Kenya,827.7051039
164,2002,Kenya,809.9614599
165,2003,Kenya,811.4265116
166,2004,Kenya,829.9529681
167,2005,Kenya,855.2249933
168,2006,Kenya,885.8094913
169,2007,Kenya,920.649169
170,2008,Kenya,897.6018629
171,2009,Kenya,902.1244135
172,2010,Kenya,951.68778
173,2011,Kenya,982.9805416
174,2012,Kenya,1000.827885
175,2013,Kenya,1032.275127
176,2014,Kenya,1060.093155
177,2015,Kenya,1093.134102
178,2016,Kenya,1129.716766
179,2017,Kenya,1156.432827
180,2018,Kenya,1201.476645
181,2019,Kenya,1237.49764
182,2020,Kenya,1206.221567
183,1960,Tanzania,
184,1961,Tanzania,
185,1962,Tanzania,
186,1963,Tanzania,
187,1964,Tanzania,
188,1965,Tanzania,
189,1966,Tanzania,
190,1967,Tanzania,
191,1968,Tanzania,
192,1969,Tanzania,
193,1970,Tanzania,
194,1971,Tanzania,
195,1972,Tanzania,
196,1973,Tanzania,
197,1974,Tanzania,
198,1975,Tanzania,
199,1976,Tanzania,
200,1977,Tanzania,
201,1978,Tanzania,
202,1979,Tanzania,
203,1980,Tanzania,
204,1981,Tanzania,
205,1982,Tanzania,
206,1983,Tanzania,
207,1984,Tanzania,
208,1985,Tanzania,
209,1986,Tanzania,
210,1987,Tanzania,
211,1988,Tanzania,494.2807429
212,1989,Tanzania,497.3531956
213,1990,Tanzania,515.6939127
214,1991,Tanzania,509.1856317
215,1992,Tanzania,495.0095608
216,1993,Tanzania,484.3752775
217,1994,Tanzania,476.5291918
218,1995,Tanzania,479.31567
219,1996,Tanzania,488.0382759
220,1997,Tanzania,493.1548562
221,1998,Tanzania,499.7603288
222,1999,Tanzania,511.9469202
223,2000,Tanzania,522.0768365
224,2001,Tanzania,539.5279052
225,2002,Tanzania,562.3184266
226,2003,Tanzania,583.3144833
227,2004,Tanzania,609.6367324
228,2005,Tanzania,637.005571
229,2006,Tanzania,659.8042988
230,2007,Tanzania,684.8840144
231,2008,Tanzania,703.5884945
232,2009,Tanzania,719.7231473
233,2010,Tanzania,743.4036639
234,2011,Tanzania,777.2241166
235,2012,Tanzania,788.4299018
236,2013,Tanzania,817.1080357
237,2014,Tanzania,846.3742955
238,2015,Tanzania,871.9982814
239,2016,Tanzania,904.4084623
240,2017,Tanzania,937.362559
241,2018,Tanzania,959.4382298
242,2019,Tanzania,985.4482081
243,2020,Tanzania,976.1566254
