,country,CountryCode,Value1,Value2
0,Antigua and Barbuda,ATG,73.86544,-80.05287
1,Australia,AUS,0.5442749,-0.6015453
2,Austria,AUT,43.38731,5.149522
3,Belarus,BLR,-58.70491,3.913097
4,Belgium,BEL,26.00929,8.748268
5,Brazil,BRA,-42.29362,-12.31647
6,Bulgaria,BGR,-35.68106,8.323649
7,Canada,CAN,10.61223,-5.009324
8,Chile,CHL,,-26.70335
9,China,CHN,13.19261,-23.32584
10,Croatia,HRV,0.5237144,9.350607
11,Cyprus,CYP,72.07038,6.468476
12,Czech Republic,CZE,-2.665592,8.076766
13,Denmark,DNK,20.43183,32.47047
14,EU28,EUU,14.61436,11.85945
15,Estonia,EST,-45.08773,-10.08565
16,Finland,FIN,36.30734,25.88831
17,France and Monaco,FRA,24.66791,14.80205
18,Germany,DEU,-1.123553,7.808005
19,Greece,GRC,35.37377,19.54978
20,Hungary,HUN,-3.817337,-0.3910994
21,Iceland,ISL,22.94587,-11.22643
22,India,IND,19.40171,-49.77568
23,Indonesia,IDN,-9.435458,-33.2902
24,Ireland,IRL,49.32294,9.848093
25,"Israel and Palestine, State of",ISR,1.818505,7.108111
26,"Italy, San Marino and the Holy See",ITA,26.66328,19.20489
27,Japan,JPN,-12.2727,-0.0939009
28,Kazakhstan,KAZ,0.1229309,-30.6793
29,"Korea, Rep.",KOR,11.80569,-16.33333
30,Kyrgyz Republic,KGZ,,-54.5647
31,Latvia,LVA,-1049.911,12.18516
32,Lithuania,LTU,-73.23586,-4.312097
33,Luxembourg,LUX,58.25935,11.4585
34,Malta,MLT,40.28936,42.6689
35,Mexico,MEX,8.825021,-3.456272
36,Moldova,MDA,-142.2344,-3.086547
37,Netherlands,NLD,27.7002,12.52088
38,New Zealand,NZL,29.09267,-7.11726
39,Norway,NOR,18.07929,-7.950462
40,Papua New Guinea,PNG,87.87717,-27.37679
41,Poland,POL,24.64013,-1.667205
42,Portugal,PRT,47.40415,1.706819
43,Romania,ROU,-62.39122,2.918088
44,Russian Federation,RUS,-33.37598,-5.026942
45,Serbia and Montenegro,SRB,1046.667,1.470749
46,Singapore,SGP,-24.28276,-9.631275
47,Slovak Republic,SVK,-18.72083,3.886537
48,Slovenia,SVN,68.2777,13.06946
49,South Africa,ZAF,8.803138,-2.662293
50,Spain and Andorra,ESP,55.53876,5.34029
51,Sweden,SWE,19.10927,16.40639
52,Switzerland and Liechtenstein,CHE,19.46307,11.89629
53,Thailand,THA,,-14.56166
54,Ukraine,UKR,-93.8937,36.26884
55,United Kingdom,GBR,1.19109,25.68957
56,United States,USA,12.74026,5.039486
