Policy,Average,Min,Max
Behavioral Energy Efficiency,-190,,
Reforestation,5.5,1,10
Clean Power Plan,11,,
Methane Flaring Regulation,20,,
EU ETS,30.62,8.56,52.68
Gasoline Tax,32.5,18,47
Reducing Federal Coal Leasing,50.5,33,68
Soil Management,57,,
Agricultural Emissions Policies,57.5,50,65
Livestock Management Policies,71,,
National Clean Energy Standard,80.5,51,110
Renewable Portfolio Standards,95,0,190
Concentrating Solar Power Expansions (China & India),100,,
Renewable Fuel Subsidies,100,,
Wind Energy Subsidies,131,2,260
Corn Starch Ethanol (US),146,-18,310
CAFE Standards,179,48,310
Biodiesel,200,150,250
Energy Efficiency Programs (China),275,250,300
Cash for Clunkers,345,270,420
Weatherization Assistance Program,350,,
Dedicated Battery Electric Vehicle Subsidy,495,350,640
Solar Pholtaics Subsidies,1120,140,2100
Low Carbon Fuel Standard,1500,100,2900
