"Figure 1. Average Cumulative Mass Balance of ""Reference"" Glaciers Worldwide, 1956-2019",,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,
"Data source: WGMS, 2020",,
Web update: April 2021,,
Units: m of water equivalent; count,,
,,
Year,Mean cumulative mass balance,Number of observations
1956,0,
1957,-0.12,11
1958,-0.976,11
1959,-1.414,12
1960,-1.968,14
1961,-2.362,15
1962,-2.569,19
1963,-2.885,22
1964,-2.545,22
1965,-2.373,24
1966,-2.578,27
1967,-2.662,30
1968,-2.776,32
1969,-3.277,32
1970,-3.519,33
1971,-3.758,33
1972,-4.016,33
1973,-4.147,33
1974,-4.339,33
1975,-4.534,34
1976,-4.752,36
1977,-5.14,36
1978,-5.372,36
1979,-5.785,36
1980,-5.919,36
1981,-6.11,35
1982,-6.568,37
1983,-6.438,38
1984,-6.726,41
1985,-7.009,41
1986,-7.586,41
1987,-7.475,41
1988,-7.559,41
1989,-7.892,41
1990,-8.399,41
1991,-8.832,41
1992,-8.935,40
1993,-9.242,41
1994,-9.917,41
1995,-10.384,41
1996,-10.819,41
1997,-11.611,41
1998,-12.134,40
1999,-12.861,40
2000,-13.088,40
2001,-13.317,40
2002,-13.755,40
2003,-14.326,40
2004,-15.018,39
2005,-15.758,41
2006,-16.591,41
2007,-17.202,40
2008,-17.619,41
2009,-18.169,41
2010,-19.011,41
2011,-19.92,41
2012,-20.657,41
2013,-21.502,39
2014,-22.285,37
2015,-23.402,40
2016,-24.383,41
2017,-25.152,41
2018,-26.043,39
2019,-27.174,27
