,key,year,value
0,Afghanistan,1800,683.0
1,Afghanistan,1850,757.0
2,Afghanistan,1900,1054.0
3,Afghanistan,1950,1344.0
4,Afghanistan,2000,584.0
5,Afghanistan,2023,2035.0
6,Afghanistan,2050,3257.0
7,Albania,1800,755.0
8,Albania,1850,811.0
9,Albania,1900,1269.0
10,Albania,1950,1855.0
11,Albania,2000,5893.0
12,Albania,2023,15120.0
13,Albania,2050,30365.0
14,Algeria,1800,796.0
15,Algeria,1850,1081.0
16,Algeria,1900,1861.0
17,Algeria,1950,3892.0
18,Algeria,2000,8710.0
19,Algeria,2023,11356.0
20,Algeria,2050,17598.0
21,Andorra,1800,1355.0
22,Andorra,1850,2004.0
23,Andorra,1900,3617.0
24,Andorra,1950,7906.0
25,Andorra,2000,35843.0
26,Andorra,2023,56912.0
27,Andorra,2050,83436.0
28,Angola,1800,700.0
29,Angola,1850,778.0
30,Angola,1900,779.0
31,Angola,1950,1949.0
32,Angola,2000,2341.0
33,Angola,2023,5995.0
34,Angola,2050,9689.0
35,Antigua and Barbuda,1800,857.0
36,Antigua and Barbuda,1850,1052.0
37,Antigua and Barbuda,1900,1473.0
38,Antigua and Barbuda,1950,2792.0
39,Antigua and Barbuda,2000,18314.0
40,Antigua and Barbuda,2023,19354.0
41,Antigua and Barbuda,2050,31989.0
42,Argentina,1800,1725.0
43,Argentina,1850,2318.0
44,Argentina,1900,5328.0
45,Argentina,1950,9240.0
46,Argentina,2000,18625.0
47,Argentina,2023,22555.0
48,Argentina,2050,36939.0
49,Armenia,1800,582.0
50,Armenia,1850,654.0
51,Armenia,1900,1003.0
52,Armenia,1950,4125.0
53,Armenia,2000,4048.0
54,Armenia,2023,14108.0
55,Armenia,2050,29908.0
56,Australia,1800,925.0
57,Australia,1850,3659.0
58,Australia,1900,7436.0
59,Australia,1950,13734.0
60,Australia,2000,38217.0
61,Australia,2023,52518.0
62,Australia,2050,87183.0
63,Austria,1800,2091.0
64,Austria,1850,3057.0
65,Austria,1900,5340.0
66,Austria,1950,6867.0
67,Austria,2000,46470.0
68,Austria,2023,56365.0
69,Austria,2050,94268.0
70,Austria,1700,1350.2845021351948
71,Austria,1750,1391.759037069874
72,Azerbaijan,1800,877.0
73,Azerbaijan,1850,1040.0
74,Azerbaijan,1900,1723.0
75,Azerbaijan,1950,4067.0
76,Azerbaijan,2000,3999.0
77,Azerbaijan,2023,14835.0
78,Azerbaijan,2050,24644.0
79,Bahamas,1800,1636.0
80,Bahamas,1850,2008.0
81,Bahamas,1900,2812.0
82,Bahamas,1950,12529.0
83,Bahamas,2000,40566.0
84,Bahamas,2023,34714.0
85,Bahamas,2050,54856.0
86,Bahrain,1800,1398.0
87,Bahrain,1850,1733.0
88,Bahrain,1900,3057.0
89,Bahrain,1950,18166.0
90,Bahrain,2000,49406.0
91,Bahrain,2023,44874.0
92,Bahrain,2050,72835.0
93,Bangladesh,1800,992.0
94,Bangladesh,1850,994.0
95,Bangladesh,1900,1126.0
96,Bangladesh,1950,1001.0
97,Bangladesh,2000,1938.0
98,Bangladesh,2023,5594.0
99,Bangladesh,2050,13404.0
100,Bangladesh,1700,624.8395738867349
101,Bangladesh,1750,616.7647598865186
102,Barbados,1800,1034.0
103,Barbados,1850,1269.0
104,Barbados,1900,1777.0
105,Barbados,1950,3941.0
106,Barbados,2000,15124.0
107,Barbados,2023,15797.0
108,Barbados,2050,27513.0
109,Belarus,1800,688.0
110,Belarus,1850,828.0
111,Belarus,1900,1391.0
112,Belarus,1950,3502.0
113,Belarus,2000,8053.0
114,Belarus,2023,18749.0
115,Belarus,2050,31205.0
116,Belgium,1800,2697.0
117,Belgium,1850,3422.0
118,Belgium,1900,6913.0
119,Belgium,1950,10120.0
120,Belgium,2000,43024.0
121,Belgium,2023,52899.0
122,Belgium,2050,85222.0
123,Belgium,1700,1396.8957489542536
124,Belgium,1750,1523.8862715864673
125,Belize,1800,655.0
126,Belize,1850,804.0
127,Belize,1900,1126.0
128,Belize,1950,2197.0
129,Belize,2000,6599.0
130,Belize,2023,6572.0
131,Belize,2050,9895.0
132,Benin,1800,676.0
133,Benin,1850,783.0
134,Benin,1900,996.0
135,Benin,1950,1891.0
136,Benin,2000,2478.0
137,Benin,2023,3662.0
138,Benin,2050,7011.0
139,Bhutan,1800,712.0
140,Bhutan,1850,758.0
141,Bhutan,1900,837.0
142,Bhutan,1950,960.0
143,Bhutan,2000,4061.0
144,Bhutan,2023,11700.0
145,Bhutan,2050,25650.0
146,Bolivia,1800,967.0
147,Bolivia,1850,1394.0
148,Bolivia,1900,1699.0
149,Bolivia,1950,3500.0
150,Bolivia,2000,5416.0
151,Bolivia,2023,8599.0
152,Bolivia,2050,15070.0
153,Bosnia and Herzegovina,1800,757.0
154,Bosnia and Herzegovina,1850,884.0
155,Bosnia and Herzegovina,1900,1214.0
156,Bosnia and Herzegovina,1950,2337.0
