,year,ind,value
0,1801,serv,35.8
1,1801,ind,32.6
2,1801,agri,31.6
3,1811,serv,43.0
4,1811,ind,21.0
5,1811,agri,36.0
6,1821,serv,42.0
7,1821,ind,32.0
8,1821,agri,26.0
9,1831,serv,41.0
10,1831,ind,35.0
11,1831,agri,24.0
12,1841,serv,41.6
13,1841,ind,34.1
14,1841,agri,24.3
15,1851,serv,48.8
16,1851,ind,31.9
17,1851,agri,19.3
18,1920,serv,51.35
19,1920,ind,42.5
20,1920,agri,6.15
21,1921,serv,56.94
22,1921,ind,36.75
23,1921,agri,6.31
24,1922,serv,54.45
25,1922,ind,39.83
26,1922,agri,5.71
27,1923,serv,53.35
28,1923,ind,41.53
29,1923,agri,5.12
30,1924,serv,53.47
31,1924,ind,41.67
32,1924,agri,4.86
33,1925,serv,56.33
34,1925,ind,39.2
35,1925,agri,4.46
36,1926,serv,57.14
37,1926,ind,38.22
38,1926,agri,4.64
39,1927,serv,56.1
40,1927,ind,39.99
41,1927,agri,3.91
42,1928,serv,57.07
43,1928,ind,38.88
44,1928,agri,4.06
45,1929,serv,57.42
46,1929,ind,38.65
47,1929,agri,3.93
48,1930,serv,59.83
49,1930,ind,36.09
50,1930,agri,4.08
51,1931,serv,60.04
52,1931,ind,35.92
53,1931,agri,4.04
54,1932,serv,60.06
55,1932,ind,35.91
56,1932,agri,4.02
57,1933,serv,58.48
58,1933,ind,37.02
59,1933,agri,4.5
60,1934,serv,57.8
61,1934,ind,37.66
62,1934,agri,4.55
63,1935,serv,57.39
64,1935,ind,38.41
65,1935,agri,4.2
66,1936,serv,55.63
67,1936,ind,40.08
68,1936,agri,4.29
69,1937,serv,55.23
70,1937,ind,41.24
71,1937,agri,3.53
72,1938,serv,56.83
73,1938,ind,39.6
74,1938,agri,3.57
75,1960,serv,46.74
76,1960,ind,49.02
77,1960,agri,4.24
78,1961,serv,47.41
79,1961,ind,48.4
80,1961,agri,4.2
81,1962,serv,48.24
82,1962,ind,47.6
83,1962,agri,4.17
84,1963,serv,49.0
85,1963,ind,47.09
86,1963,agri,3.91
87,1964,serv,48.48
88,1964,ind,47.79
89,1964,agri,3.73
90,1965,serv,49.0
91,1965,ind,47.42
92,1965,agri,3.57
93,1966,serv,49.72
94,1966,ind,46.74
95,1966,agri,3.54
96,1967,serv,50.62
97,1967,ind,45.87
98,1967,agri,3.5
99,1968,serv,51.19
100,1968,ind,45.5
101,1968,agri,3.31
102,1969,serv,50.96
103,1969,ind,45.65
104,1969,agri,3.39
105,1970,serv,50.99
106,1970,ind,45.82
107,1970,agri,3.19
108,1971,serv,51.95
109,1971,ind,44.76
110,1971,agri,3.29
111,1972,serv,52.63
112,1972,ind,44.22
113,1972,agri,3.15
114,1973,serv,52.16
115,1973,ind,44.37
116,1973,agri,3.46
117,1974,serv,53.89
118,1974,ind,42.94
119,1974,agri,3.17
120,1975,serv,55.29
121,1975,ind,41.63
122,1975,agri,3.08
123,1976,serv,55.38
124,1976,ind,41.41
125,1976,agri,3.21
126,1977,serv,53.59
127,1977,ind,43.45
128,1977,agri,2.96
129,1978,serv,53.22
130,1978,ind,44.01
131,1978,agri,2.77
132,1979,serv,52.52
133,1979,ind,44.87
134,1979,agri,2.61
135,1980,serv,53.44
136,1980,ind,44.12
137,1980,agri,2.44
138,1981,serv,54.19
139,1981,ind,43.28
140,1981,agri,2.53
141,1982,serv,53.96
142,1982,ind,43.41
143,1982,agri,2.63
144,1983,serv,54.57
145,1983,ind,43.13
146,1983,agri,2.3
147,1984,serv,54.33
148,1984,ind,43.05
149,1984,agri,2.63
150,1985,serv,54.78
151,1985,ind,43.02
152,1985,agri,2.2
153,1986,serv,58.34
154,1986,ind,39.36
155,1986,agri,2.3
156,1987,serv,57.75
157,1987,ind,39.98
158,1987,agri,2.27
159,1988,serv,59.13
160,1988,ind,38.85
161,1988,agri,2.03
162,1989,serv,59.11
163,1989,ind,38.73
164,1989,agri,2.16
165,1990,serv,60.59
166,1990,ind,37.26
167,1990,agri,2.15
168,1991,serv,63.35
169,1991,ind,34.6
170,1991,agri,2.05
171,1992,serv,64.74
172,1992,ind,33.18
173,1992,agri,2.08
174,1993,serv,65.33
175,1993,ind,32.51
176,1993,agri,2.16
177,1994,serv,64.76
178,1994,ind,33.14
179,1994,agri,2.1
180,1995,serv,64.11
181,1995,ind,33.69
182,1995,agri,2.19
183,1996,serv,64.36
184,1996,ind,33.61
185,1996,agri,2.03
186,1997,serv,65.37
187,1997,ind,32.99
188,1997,agri,1.63
189,1998,serv,67.04
190,1998,ind,31.53
191,1998,agri,1.43
192,1999,serv,68.01
193,1999,ind,30.64
194,1999,agri,1.34
195,2000,serv,68.3
196,2000,ind,30.49
197,2000,agri,1.21
198,2001,serv,69.3
199,2001,ind,29.57
200,2001,agri,1.13
201,2002,serv,71.24
202,2002,ind,27.62
203,2002,agri,1.14
204,2003,serv,72.4
205,2003,ind,26.42
206,2003,agri,1.17
207,2004,serv,73.09
208,2004,ind,25.78
209,2004,agri,1.14
210,2005,serv,73.68
211,2005,ind,25.24
212,2005,agri,1.08
213,2006,serv,73.91
214,2006,ind,25.03
215,2006,agri,1.05
216,2007,serv,74.18
217,2007,ind,24.71
218,2007,agri,1.11
219,2008,serv,74.64
220,2008,ind,24.09
221,2008,agri,1.27
222,2009,serv,75.9
223,2009,ind,22.93
224,2009,agri,1.17
225,2010,serv,75.34
226,2010,ind,23.49
227,2010,agri,1.17
228,2011,serv,74.77
229,2011,ind,23.99
230,2011,agri,1.24
